system:index,can_first_month,can_full_season,end_month,id,lat,lon,ndvi_first_month_median_30km,ndvi_full_season_median_30km,record_id,scientific_name,start_month,year,.geo
000000000000000001c0,1,0,,467Saladin2007,46.0,6.0,0.4156675810331005,,449,Strix_aluco,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,1,0,,166Hunter1992,59.53,-1.62,,,41,Fulmarus_glacialis,3,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000174,1,0,,206Stewart2006,35.0,-83.0,0.48396203421224665,,373,Passer_domesticus,3,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000175,1,0,,206Stewart2006,35.0,-83.0,0.48436164196992815,,374,Passer_domesticus,3,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,1,0,,224Wetton1991,53.07,-0.95,0.40121258732637455,,379,Passer_domesticus,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,1,0,,224Wetton1991,53.07,-0.95,0.2158423462986198,,380,Passer_domesticus,3,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c,1,0,,224Wetton1991,53.07,-0.95,0.3716046243143259,,381,Passer_domesticus,3,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d,1,0,,224Wetton1991,53.07,-0.95,0.41457364620938636,,382,Passer_domesticus,3,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e,1,0,,224Wetton1991,53.07,-0.95,0.467128454399091,,383,Passer_domesticus,3,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000196,1,0,,259Huyvaert2006,-1.38,-89.62,,,407,Phoebastria_irrorata,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000197,1,0,,259Huyvaert2006,-1.38,-89.62,-0.0729,,408,Phoebastria_irrorata,3,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000198,1,0,,259Huyvaert2006,-1.38,-89.62,0.045750000000000006,,409,Phoebastria_irrorata,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000195,1,0,,259Huyvaert2000,-1.38,-89.62,,,406,Phoebastria_irrorata,4,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019c,1,0,,18Fridolfsson1997,56.92,18.12,0.23681428571428584,,413,Phylloscopus_trochilus,4,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019d,1,0,,18Fridolfsson1997,56.92,18.12,0.20990978417266198,,414,Phylloscopus_trochilus,4,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a1,1,0,,262Hoset2014,78.22,15.63,,,418,Plectrophenax_nivalis,4,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a2,1,0,,262Hoset2014,78.22,15.63,,,419,Plectrophenax_nivalis,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a3,1,0,,262Hoset2014,78.22,15.63,,,420,Plectrophenax_nivalis,4,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a4,1,0,,262Hoset2014,78.22,15.63,,,421,Plectrophenax_nivalis,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a5,1,0,,262Hoset2014,78.22,15.63,,,422,Plectrophenax_nivalis,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c1,1,0,,358Cordero2003,40.5,-4.0,0.4223429425228892,,450,Sturnus_unicolor,4,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2,1,0,,358Cordero2003,40.5,-4.0,0.4043595724614901,,451,Sturnus_unicolor,4,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cb,1,0,,58Barber1998,44.57,-76.32,0.31320473051365894,,460,Tachycineta_bicolor,4,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
