id,scientific_name,Clements_name,scientific_name_jetz,breeding_system,level,common_name,lat,long,nest_box,marker_type,year_of_study_start,year_of_study_end,breeding_start,breeding_end,epp_percent_broods,n_epp_broods,n_wpp_broods,n_broods_sampled,record_id,lon,climate_year,climate_month,location_id,tmp_cru_C_first_month,tmp_long_base_1961_1989_C_first_month,tmp_long_anom_1961_1989_C_first_month,tmp_short_base_5yr_C_first_month,tmp_short_anom_5yr_C_first_month,original_end_month,tmp_cru_C_full_season,tmp_long_base_1961_1989_C_full_season,tmp_long_anom_1961_1989_C_full_season,tmp_short_base_5yr_C_full_season,tmp_short_anom_5yr_C_full_season,n_months_full_season,pre_cru_mm_first_month,pre_long_base_1961_1989_mm_first_month,pre_long_anom_1961_1989_mm_first_month,pre_short_base_5yr_mm_first_month,pre_short_anom_5yr_mm_first_month,pre_cru_mm_full_season,pre_long_base_1961_1989_mm_full_season,pre_long_anom_1961_1989_mm_full_season,pre_short_base_5yr_mm_full_season,pre_short_anom_5yr_mm_full_season,n_months_pre_full_season,dtr_cru_C_first_month,dtr_cru_C_full_season,breeding_start_month_num,breeding_end_month_num,breeding_season_length_months,ndvi_can_first_month,ndvi_can_full_season,ndvi_start_month,ndvi_end_month,ndvi_year,ndvi_lat,ndvi_lon,ndvi_first_month_median_30km,ndvi_full_season_median_30km,ndvi_merge_status,ndvi_coord_match_round4,lat_round,long_round,abs_latitude,population_id,distance_to_coast_km
179Gibbs1994,Gallinula_mortierii,Tribonyx_mortierii,Gallinula_mortierii,polyandry_polygynandry,single-year study,Tasmanian_native-hen,-42.63,148.0614,no,DNA fingerprinting,1989,1989,July,September,0,0,6,6,1,148.0614,1989,7,1,7.599999905,7.786207002,-0.186207097,8.000000095,-0.400000191,9,8.733333429,8.805747317,-0.072413888,9.113333416,-0.379999987,3,82.20000458,71.38275969,10.81724489,72.20000076,10.00000381,161.7000084,199.0724178,-37.37240943,201.3600044,-39.65999603,3,9.100000381,10.00000032,7,9,3,1,1,7,9,1989,-42.63,148.0614,0.337621954,0.332107695,both,TRUE,-42.63,148.06,42.63,Gallinula_mortierii_-42.63_148.06,1.787452658
191Liu2015,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,single-year study,red-winged_blackbird,41.55,-80.18,no,microsatellite,2009,2009,NA,NA,48.1,13,14,27,2,-80.18,2009,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,left_only,NA,41.55,-80.18,41.55,Agelaius_phoeniceus_41.55_-80.18,397.0641173
191Liu2015,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,monogamy,single-year study,red-winged_blackbird,26.53,-78.53,no,microsatellite,2011,2011,NA,NA,50,10,10,20,3,-78.53,2011,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,left_only,NA,26.53,-78.53,26.53,Agelaius_phoeniceus_26.53_-78.53,2.563974469
191Liu2015,Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,monogamy,single-year study,yellow-shouldered_blackbird,17.93,-67.1,yes,microsatellite,2012,2012,NA,NA,36.7,11,19,30,4,-67.1,2012,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,left_only,NA,17.93,-67.1,17.93,Agelaius_xanthomus_17.93_-67.1,4.124421454
233Lifjeld2005,Alle_alle,Alle_alle,Alle_alle,monogamy,single-year study,little_auk,77,15.37,no,microsatellite,2002,2002,June,August,0,0,26,26,5,15.37,2002,6,5,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,8,3,1,1,6,8,2002,77,15.37,0.021,0.050106181,both,TRUE,77,15.37,77,Alle_alle_77_15.37,1.422209431
232Kreisinger2010,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,monogamy,single-year study,mallard,49.15,14.72,no,microsatellite,2004,2004,April,July,48,12,13,25,6,14.72,2004,4,6,8.699999809,7.317241537,1.382758272,8.220000076,0.479999733,7,13.25000024,13.03103478,0.218965456,14.53000026,-1.280000019,4,32.79999924,45.6172417,-12.81724246,32.94000072,-0.140001488,277.7999992,284.8551766,-7.05517736,247.4400045,30.3599947,4,11.40000057,10.90000033,4,7,4,1,1,4,7,2004,49.15,14.72,0.508487016,0.622960154,both,TRUE,49.15,14.72,49.15,Anas_platyrhynchos_49.15_14.72,384.5813158
235Peters2003,Anas_strepera,Mareca_strepera,Anas_strepera,monogamy,single-year study,gadwalls,48.62,-99.08,no,microsatellite,1997,1997,May,August,27.6,8,21,29,7,-99.08,1997,5,7,9.400000572,11.52413817,-2.124137599,11.44000034,-2.039999771,8,16.57500005,16.46034522,0.114654825,15.95000029,0.624999762,4,15.90000057,56.93103557,-41.031035,55.90000153,-40.00000095,234.9000044,278.5896593,-43.68965494,310.0600044,-75.16000004,4,14.60000038,14.12500024,5,8,4,1,1,5,8,1997,48.62,-99.08,0.218452626,0.485716919,both,TRUE,48.62,-99.08,48.62,Anas_strepera_48.62_-99.08,1014.260793
408Choudhury1993,Branta_leucopsis,Branta_leucopsis,Branta_leucopsis,monogamy,single-year study,barnacle_goose,78.92,11.9,no,DNA fingerprinting,1989,1989,June,July,0,0,9,9,8,11.9,1989,6,8,1.5,0.906896572,0.593103428,1.760000026,-0.260000026,7,2.700000048,2.598275911,0.101724137,3.27000007,-0.570000023,2,20.5,24.37241424,-3.872414235,20.76000013,-0.260000134,51,54.24482843,-3.24482843,42.64000063,8.359999371,2,3.400000095,3.400000095,6,7,2,1,1,6,7,1989,78.92,11.9,-0.049677778,-0.006222391,both,TRUE,78.92,11.9,78.92,Branta_leucopsis_78.92_11.9,2.451344166
114Blomqvist2002,Calidris_mauri,Calidris_mauri,Calidris_mauri,monogamy,single-year study,Western_sandpiper,64.33,-164.93,no,DNA fingerprinting,1996,1996,May,June,8,2,23,25,9,-164.93,1996,5,9,3.799999952,1.800000019,1.999999933,2.920000088,0.879999864,6,5.999999881,4.732758675,1.267241206,5.860000092,0.139999789,2,40.90000153,14.93448306,25.96551847,12.46000013,28.44000139,64.20000267,40.83793178,23.36207089,33.96000032,30.24000235,2,8.100000381,7.800000191,5,6,2,1,1,5,6,1996,64.33,-164.93,0.297423913,0.265905814,both,TRUE,64.33,-164.93,64.33,Calidris_mauri_64.33_-164.93,13.94887324
174Ritchison1994,Cardinalis_cardinalis,Cardinalis_cardinalis,Cardinalis_cardinalis,monogamy,single-year study,Northern_cardinal,37.65,-84.12,no,DNA fingerprinting,1992,1992,April,August,15.8,3,16,19,10,-84.12,1992,4,10,13.40000057,13.00689678,0.393103797,13.00000038,0.400000191,8,19.24000034,20.21793133,-0.97793099,20.74400036,-1.504000015,5,59.90000153,102.0034508,-42.10344926,80.06000214,-20.16000061,607.6000061,539.5275964,68.07240966,489.7800072,117.8199989,5,11.30000019,10.90000019,4,8,5,1,1,4,8,1992,37.65,-84.12,0.464471018,0.636184146,both,TRUE,37.65,-84.12,37.65,Cardinalis_cardinalis_37.65_-84.12,601.8097787
