system:index,epp_row_id,first_month,latitude,longitude,pre_max_mm_day_first_month,pre_mean_mm_day_first_month,pre_sd_mm_day_first_month,pre_sum_mm_first_month,pre_wet_days_gt1mm_first_month,tmp_mean_C_first_month,tmp_range_C_first_month,tmp_sd_C_first_month,weather_dataset,weather_end_date,weather_start_date,year,.geo
00000000000000000009,13,1,-77.52,167.77,3.732546681892046,0.3926536503041322,0.7649309064406218,12.172263159428098,3,-9.431871405980896,6.095792770385742,1.2971074696726215,ECMWF/ERA5_LAND/DAILY_AGGR,1988-01-31,1988-01-01,1988,"{""type"":""Point"",""coordinates"":[167.77,-77.52]}"
0000000000000000003a,63,1,-71.88,5.17,3.693356288238192,0.5401559454891377,0.9595473821260366,16.74483431016327,6,-15.72262615490983,5.785116195678739,1.4700411912739169,ECMWF/ERA5_LAND/DAILY_AGGR,1993-01-31,1993-01-01,1993,"{""type"":""Point"",""coordinates"":[5.17,-71.88]}"
00000000000000000040,69,1,-0.12,-77.92,25.000726918790406,6.461055610490263,4.88365857613067,200.29272392519815,31,7.2629331855364,0.9938850402832031,0.3050188147136586,ECMWF/ERA5_LAND/DAILY_AGGR,2009-01-31,2009-01-01,2009,"{""type"":""Point"",""coordinates"":[-77.92,-0.11999999999999997]}"
000000000000000000ba,191,1,-0.42,-90.37,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,1987-01-31,1987-01-01,1987,"{""type"":""Point"",""coordinates"":[-90.37,-0.41999999999999993]}"
000000000000000000bb,192,1,-0.42,-90.37,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,1991-01-31,1991-01-01,1991,"{""type"":""Point"",""coordinates"":[-90.37,-0.41999999999999993]}"
0000000000000000011b,290,1,9.12,-79.7,6.169560551541053,1.1580751072366016,1.172699815944277,35.90032832433465,12,25.156954147995183,1.3464864095051894,0.34615068476458927,ECMWF/ERA5_LAND/DAILY_AGGR,1994-01-31,1994-01-01,1994,"{""type"":""Point"",""coordinates"":[-79.7,9.12]}"
0000000000000000011c,291,1,9.12,-79.7,4.011407494601826,1.1316012548208634,1.0011548513985236,35.07963889944676,13,25.678653068952688,1.9588680267333984,0.4538849599468199,ECMWF/ERA5_LAND/DAILY_AGGR,1995-01-31,1995-01-01,1995,"{""type"":""Point"",""coordinates"":[-79.7,9.12]}"
000000000000000001a5,449,1,46.0,6.0,43.15023422230979,8.271325681576972,10.360106688035955,256.41109612888613,21,0.7851190751598918,14.100647608439147,2.791667242937249,ECMWF/ERA5_LAND/DAILY_AGGR,2004-01-31,2004-01-01,2004,"{""type"":""Point"",""coordinates"":[6.000000000000001,46.00000000000001]}"
000000000000000001a9,459,1,9.17,-79.85,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,1996-01-31,1996-01-01,1996,"{""type"":""Point"",""coordinates"":[-79.85,9.17]}"
00000000000000000237,628,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,1999-01-31,1999-01-01,1999,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
00000000000000000238,629,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2000-01-31,2000-01-01,2000,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
00000000000000000239,630,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2001-01-31,2001-01-01,2001,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
0000000000000000023a,631,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2002-01-31,2002-01-01,2002,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
0000000000000000023b,632,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2003-01-31,2003-01-01,2003,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
0000000000000000023c,633,1,22.0,121.08,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2004-01-31,2004-01-01,2004,"{""type"":""Point"",""coordinates"":[121.08,22.0]}"
