Study_ID,level,Scientific_name,Common_name,Breeding_system,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,yearly_data,No,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,fam_sys_known,fam_sys_inferred,breedsys_known,breedsys_inferred,breedsys_cat,breedsys_cat1,breedsys_cat2,Female.MinMass,Female.MaxMass,,Male.MinMass,Male.MaxMass,Average.Mass,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,mono_poly_model,BS_Birdbase,Coop,Nest_type,CS_min,CS_max,cooperative_breeding,max_pa,match_source,MG_comments,Sexual selection,Data certainty,Sex-role_reversal,Territoriality,Migration,Lat_round,Long_round,population_id,breeding_system_cat,nest_type_model,breeding_system_3cat,breeding_system_model,marker_type_model,study_duration_num,nest_box_model,population_id_source,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring,parental_care_model,parental_care_binary
128Green2002,total,Acanthiza_pusilla,brown_thornbill,monogamy,178,6.2,67,11.9,-35.27,149.1,no,DNA_fingerprinting,1995,1997,3,July,December,yes,1,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,family,family,Pair,Pair,biparental,biparental,biparental,6.2,NA,,NA,NA,7.733333333,0,0,1,0,0,0,NA,NA,NA,NA,0,DM,2,4,no,0,Clements_name,NA,1,4,0,Territorial,Weak,-35.27,149.1,Acanthiza_pusilla_-35.27_149.1,monogamy,ground,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,8,59,11,167,biparental,biparental
389Rosenfield2015,total,Accipiter_cooperii,Cooper’s_hawk,monogamy,140,19.3,44,34.1,44.97,-90.05,no,microsatellite,2003,2007,5,February,April,yes,2,Accipiter_cooperii,Accipiter_cooperii,Astur_cooperii,Astur_cooperii,no_fam,no_fam,pair,Pair,biparental,biparental,biparental,399,588,,269,380,429.6666667,0,0,0,0,1,0,NA,NA,NA,NA,0,PL,3,6,NA,NA,NA,NA,1,4,0,Territorial,Strong,44.97,-90.05,Accipiter_cooperii_44.97_-90.05,monogamy,open,monogamy,monogamy,microsatellite,5,no,species_coordinates,15,29,27,113,biparental,biparental
52Leisler2000,total,Acrocephalus_arundinaceus,great_reed_warbler,monogamy,194,9.8,48,10.4,49.67,10.85,no,DNA_fingerprinting,1992,1997,6,May,July,yes,3,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,33.75,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,3,6,NA,NA,NA,NA,2,4,0,Territorial,Strong,49.67,10.85,Acrocephalus_arundinaceus_49.67_10.85,monogamy,open,monogamy,monogamy,DNA_fingerprinting,6,no,species_coordinates,5,43,19,175,biparental,biparental
123Hasselquist1996,total,Acrocephalus_arundinaceus,great_reed_warbler,monogamy,678,3.4,NA,NA,59.17,15.42,no,DNA_fingerprinting,1987,1993,7,May,July,no,3,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,33.75,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,3,6,NA,NA,NA,NA,2,4,0,Territorial,Strong,59.17,15.42,Acrocephalus_arundinaceus_59.17_15.42,monogamy,open,monogamy,monogamy,DNA_fingerprinting,7,no,species_coordinates,NA,NA,23,655,biparental,biparental
36Arlt2004,total,Acrocephalus_arundinaceus,great_reed_warbler,monogamy,543,3.13,132,6.06,59.1,15.25,no,microsatellite,1994,1998,5,May,July,yes,3,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,33.75,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,3,6,NA,NA,NA,NA,2,4,0,Territorial,Strong,59.1,15.25,Acrocephalus_arundinaceus_59.1_15.25,monogamy,open,monogamy,monogamy,microsatellite,5,no,species_coordinates,8,124,17,526,biparental,biparental
412Hamao2005,total,Acrocephalus_bistrigiceps,black-browed_reed-warbler,monogamy,140,6.4,37,13.5,36.87,139.05,no,microsatellite,1993,1997,5,May,July,no,4,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,NA,NA,Pair,Pair,biparental,biparental,biparental,7,10,,8,11,9.65,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,3,6,NA,NA,NA,NA,1,4,0,Territorial,Strong,36.87,139.05,Acrocephalus_bistrigiceps_36.87_139.05,monogamy,open,monogamy,monogamy,microsatellite,5,no,species_coordinates,5,32,9,131,biparental,biparental
51Leisler2000,total,Acrocephalus_palustris,marsh_warbler,monogamy,131,3.1,33,9.1,50.37,10.75,no,DNA_fingerprinting,1994,1996,3,NA,NA,no,5,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,11.2,16.5,,11.5,14.8,13.4,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,3,6,NA,NA,NA,NA,2,4,0,Territorial,Strong,50.37,10.75,Acrocephalus_palustris_50.37_10.75,monogamy,open,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,3,30,4,127,biparental,biparental
20Langefors1998,total,Acrocephalus_schoenobaenus,sedge_warbler,monogamy,201,7.5,44,22.7,59.17,15.42,no,DNA_fingerprinting,1990,1992,3,May,July,yes,6,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,13,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,4,8,NA,NA,NA,NA,2,4,0,Territorial,Strong,59.17,15.42,Acrocephalus_schoenobaenus_59.17_15.42,monogamy,open,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,10,34,15,186,biparental,biparental
380Marshall2007,total,Acrocephalus_schoenobaenus,sedge_warbler,monogamy,403,8.4,85,18.8,51.45,-0.55,no,microsatellite,1993,1998,6,May,July,yes,6,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,13,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CP,4,8,NA,NA,NA,NA,2,4,0,Territorial,Strong,51.45,-0.55,Acrocephalus_schoenobaenus_51.45_-0.55,monogamy,open,monogamy,monogamy,microsatellite,6,no,species_coordinates,16,69,34,369,biparental,biparental
334Davies2003,total,Acrocephalus_scirpaceus,Eurasian_reed-warbler,monogamy,186,6.5,52,15.4,52.3,0.3,no,microsatellite,2000,2001,2,May,July,no,7,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,7,16.1,,7,14,12.88333333,1,1,0,0,0,0,NA,NA,NA,NA,3,CP,3,5,no,0,Clements_name,NA,1,4,0,Territorial,Strong,52.3,0.3,Acrocephalus_scirpaceus_52.3_0.3,monogamy,open,monogamy,monogamy,microsatellite,2,no,species_coordinates,8,44,12,174,biparental,biparental
