"location_id","lat","long","stored_distance_to_coast_km","reconstructed_distance_to_coast_km","difference_km","absolute_difference_km"
1,-42.63,148.0614,1.787452658,1.78745265804891,4.89066565023677e-11,4.89066565023677e-11
2,41.55,-80.18,397.0641173,397.064117334404,3.4404081361572e-08,3.4404081361572e-08
3,26.53,-78.53,2.563974469,2.56397446871937,-2.80625744863983e-10,2.80625744863983e-10
4,17.93,-67.1,4.124421454,4.12442145367694,-3.23056248419107e-10,3.23056248419107e-10
5,77,15.37,1.422209431,1.42220943077712,-2.22882157174809e-10,2.22882157174809e-10
6,49.15,14.72,384.5813158,384.581315758542,-4.14582359553606e-08,4.14582359553606e-08
7,48.62,-99.08,1014.260793,1014.26079335932,3.59319642484479e-07,3.59319642484479e-07
8,78.92,11.9,2.451344166,2.45134416580972,-1.90281124190506e-10,1.90281124190506e-10
9,64.33,-164.93,13.94887324,13.9488732352669,-4.73310812765249e-09,4.73310812765249e-09
10,37.65,-84.12,601.8097787,601.80977868916,-1.08401536635938e-08,1.08401536635938e-08
11,43.53,-80.23,469.0582705,469.058270528825,2.88250703306403e-08,2.88250703306403e-08
12,42.27,-83.73,678.969232,678.969232027266,2.72656279776129e-08,2.72656279776129e-08
13,-77.52,167.77,13.94325007,13.9432500675388,-2.46120457347843e-09,2.46120457347843e-09
14,16.8,41.88,7.637789986,7.63778998592677,-7.32294225258556e-11,7.32294225258556e-11
15,67.23,-100.27,65.96107461,65.9610746090338,-9.66210222941299e-10,9.66210222941299e-10
16,51.73,18.63,292.129482,292.129481978025,-2.19747562368866e-08,2.19747562368866e-08
17,44,5,61.95184668,61.9518466770854,-2.91458945866907e-09,2.91458945866907e-09
18,60.38,10.52,68.56234446,68.5623444565468,-3.45322348493937e-09,3.45322348493937e-09
19,61.42,8.87,71.44460893,71.4446089263448,-3.65518815215182e-09,3.65518815215182e-09
20,58.67,-94.42,7.734236619,7.73423661894557,-5.4426685380804e-11,5.4426685380804e-11
21,-46.42,51.75,2.5294659,2.52946590000428,4.27613500164625e-12,4.27613500164625e-12
22,-49.25,69.53,0.084755357,0.0847553569243925,-7.56074647334515e-11,7.56074647334515e-11
23,-43.83,168.88,10.68454993,10.6845499304447,4.4465942039551e-10,4.4465942039551e-10
24,-54.5,158.95,0.34236785,0.34236784962243,-3.77570197329646e-10,3.77570197329646e-10
25,38,24.98,10.78862036,10.7886203568873,-3.11269943154002e-09,3.11269943154002e-09
26,37.17,-6.35,26.68393136,26.6839313603623,3.62298635536717e-10,3.62298635536717e-10
27,41.35,-0.18,95.17221312,95.1722131236085,3.60850549441238e-09,3.60850549441238e-09
28,57.17,18.33,7.874911659,7.87491165912641,1.26412658119079e-10,1.26412658119079e-10
29,40.8,-4.02,291.7479203,291.747920284877,-1.51227936839859e-08,1.51227936839859e-08
30,59.98,10.63,24.0349938,24.0349938017632,1.76315495536983e-09,1.76315495536983e-09
31,52.53,7.35,84.27408721,84.2740872051336,-4.8663935103832e-09,4.8663935103832e-09
32,59.97,10.78,25.06337882,25.0633788217895,1.78946280016135e-09,1.78946280016135e-09
33,59.83,17.67,52.38825708,52.3882570790836,-9.16358544600371e-10,9.16358544600371e-10
34,62.62,26.33,208.6334834,208.633483392996,-7.00427449373819e-09,7.00427449373819e-09
35,52.03,5.85,98.20852764,98.2085276367189,-3.28108740177413e-09,3.28108740177413e-09
36,23.75,-166.02,628.8944394,628.894439382135,-1.78647496795747e-08,1.78647496795747e-08
37,59.53,-1.62,42.73581766,42.7358176561356,-3.86438614441431e-09,3.86438614441431e-09
38,45.43,8.62,112.6362055,112.63620551306,1.30600739112197e-08,1.30600739112197e-08
39,38.83,-6.98,153.4386686,153.438668562828,-3.71721569081274e-08,3.71721569081274e-08
40,42.35,-76.5,242.7889196,242.788919569749,-3.02506748539599e-08,3.02506748539599e-08
41,44.55,-76.32,136.8136103,136.813610291297,-8.70315375323116e-09,8.70315375323116e-09
42,34.57,135.53,10.68597574,10.6859757448874,4.88736517922916e-09,4.88736517922916e-09
43,48.92,17.08,436.0672465,436.067246522415,2.2414837985707e-08,2.2414837985707e-08
44,37.62,-84.12,602.3988987,602.398898719162,1.91619164979784e-08,1.91619164979784e-08
45,44.75,-63.68,9.551193289,9.55119328940279,4.02792466047686e-10,4.02792466047686e-10
46,52.77,-4.78,7.658934076,7.65893407625246,2.52457610372403e-10,2.52457610372403e-10
47,-51.72,-61.28,16.20668118,16.2066811785319,-1.4681091897728e-09,1.4681091897728e-09
48,52.33,11,158.6854127,158.68541273144,3.14398107548186e-08,3.14398107548186e-08
49,59.83,17.63,53.61318298,53.613182976134,-3.86600618185184e-09,3.86600618185184e-09
50,53.13,6.58,33.62214897,33.6221489677572,-2.2427713020079e-09,2.2427713020079e-09
51,39.55,-4.33,313.3195755,313.319575534913,3.49127162735385e-08,3.49127162735385e-08
52,52.37,11.02,155.574394,155.574393972251,-2.77492233635712e-08,2.77492233635712e-08
53,55.67,12.57,0.680536644,0.680536643721079,-2.78921330476578e-10,2.78921330476578e-10
54,52.15,10.32,160.2810305,160.281030493269,-6.73145450491575e-09,6.73145450491575e-09
55,28.42,16.38,310.0359187,310.035918709998,9.9980752565898e-09,9.9980752565898e-09
56,53.07,-0.95,69.12314667,69.1231466653892,-4.6108112883303e-09,4.6108112883303e-09
57,41.38,2.15,3.985329571,3.98532957116883,1.68826730373439e-10,1.68826730373439e-10
58,-71.88,5.17,128.3056709,128.305670874576,-2.54240148933604e-08,2.54240148933604e-08
59,46.33,7.67,228.7367111,228.736711096584,-3.41631789524399e-09,3.41631789524399e-09
60,37,-3,27.79181326,27.7918132619266,1.9266224171588e-09,1.9266224171588e-09
61,44.57,-76.32,135.9884961,135.9884961256,2.5599575792512e-08,2.5599575792512e-08
62,-15.95,-47.93,862.0605268,862.060526809766,9.76626779447543e-09,9.76626779447543e-09
63,-0.35,-78.15,192.0759971,192.075997109151,9.15062514650344e-09,9.15062514650344e-09
64,-0.12,-77.92,183.3384396,183.338439607674,7.67440155868826e-09,7.67440155868826e-09
65,53.48,23,200.1247322,200.12473218237,-1.76299579379702e-08,1.76299579379702e-08
66,-4.32,55.65,34.18641292,34.1864129202586,2.58587817825173e-10,2.58587817825173e-10
67,-24.38,-128.32,1.282506873,1.28250687267705,-3.22946558384274e-10,3.22946558384274e-10
68,37.18,-3.05,47.40512898,47.405128975179,-4.82096851328606e-09,4.82096851328606e-09
69,50.18,-98.38,834.8031107,834.80311073129,3.12901420329581e-08,3.12901420329581e-08
70,-31.67,-62.82,442.7021022,442.702102235429,3.54290250470513e-08,3.54290250470513e-08
71,69.4,81.82,87.90902151,87.9090215127124,2.71236899607175e-09,2.71236899607175e-09
72,46.2,7.63,216.7016836,216.701683616237,1.62374078627181e-08,1.62374078627181e-08
73,-1.4,36.8,406.3987949,406.398794917946,1.79464336724777e-08,1.79464336724777e-08
74,-35.27,149.1,116.8809507,116.880950663787,-3.62133789622021e-08,3.62133789622021e-08
75,44.97,-90.05,966.080981,966.080981031692,3.1692025004304e-08,3.1692025004304e-08
76,49.67,10.85,438.1658215,438.165821548547,4.85466671307222e-08,4.85466671307222e-08
77,59.1,15.25,75.67704226,75.6770422571912,-2.80874701275025e-09,2.80874701275025e-09
78,59.17,15.42,74.81613193,74.816131930145,1.45035983223352e-10,1.45035983223352e-10
79,51.45,-0.55,67.54053986,67.5405398572009,-2.79908363154391e-09,2.79908363154391e-09
80,54.75,-3.02,21.67269751,21.6726975100747,7.46958050967805e-11,7.46958050967805e-11
81,51.17,-4.63,22.67683324,22.6768332445307,4.5307047003007e-09,4.5307047003007e-09
82,39.08,-96.58,1042.382342,1042.38234152991,-4.70087343273917e-07,4.70087343273917e-07
83,43,-84,742.2581651,742.25816511097,1.09699840322719e-08,1.09699840322719e-08
84,57.28,18.75,1.750336646,1.75033664569046,-3.09538616960481e-10,3.09538616960481e-10
85,74.5,-21,15.66067244,15.6606724443391,4.3390713244662e-09,4.3390713244662e-09
86,36.92,-25.17,2.747857886,2.74785788553507,-4.64926763754647e-10,4.64926763754647e-10
87,56.5,10.83,2.190792782,2.19079278184852,-1.51478385390647e-10,1.51478385390647e-10
88,58.75,-95.07,26.44567889,26.4456788907388,7.38808125788637e-10,7.38808125788637e-10
89,37.3,-3.18,60.26813855,60.2681385466097,-3.39030492568781e-09,3.39030492568781e-09
90,40.98,-124,11.20131773,11.2013177269867,-3.01328917373667e-09,3.01328917373667e-09
91,-41.05,-62.8,0.202861352,0.202861351730948,-2.69051947388022e-10,2.69051947388022e-10
92,-37.55,14.82,483.9761392,483.976139229577,2.95773361358442e-08,2.95773361358442e-08
93,43.93,-71.75,118.1590261,118.159026098856,-1.14388853944547e-09,1.14388853944547e-09
94,-54,-38,0.534231948,0.534231947813582,-1.86417770109415e-10,1.86417770109415e-10
