"record_id","Clements_name","family","lat","long","climate_year","breeding_start_month_num","breeding_end_month_num","stored_ndvi","can_first_month","gee_output_present","gee_output_ndvi","missing_coordinates","missing_study_year","missing_start_month","missing_required_input","missing_stored_ndvi","no_valid_pixel_after_masking","missingness_category"
2,"Agelaius_phoeniceus","Icteridae",41.55,-80.18,2009,NA,NA,NA,0,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Missing coordinates, study year, or first breeding month"
3,"Agelaius_phoeniceus","Icteridae",26.53,-78.53,2011,NA,NA,NA,0,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Missing coordinates, study year, or first breeding month"
4,"Agelaius_xanthomus","Icteridae",17.93,-67.1,2012,NA,NA,NA,0,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Missing coordinates, study year, or first breeding month"
5,"Alle_alle","Alcidae",77,15.37,2002,6,8,0.021,1,TRUE,0.021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
6,"Anas_platyrhynchos","Anatidae",49.15,14.72,2004,4,7,0.508487016,1,TRUE,0.508487015521466,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
7,"Mareca_strepera","Anatidae",48.62,-99.08,1997,5,8,0.218452626,1,TRUE,0.218452626371649,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
8,"Branta_leucopsis","Anatidae",78.92,11.9,1989,6,7,-0.049677778,1,TRUE,-0.0496777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
9,"Calidris_mauri","Scolopacidae",64.33,-164.93,1996,5,6,0.297423913,1,TRUE,0.297423913043478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
10,"Cardinalis_cardinalis","Cardinalidae",37.65,-84.12,1992,4,8,0.464471018,1,TRUE,0.46447101819912,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
11,"Spinus_tristis","Fringillidae",43.53,-80.23,1992,6,NA,0.556848577,1,TRUE,0.55684857727738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
12,"Haemorhous_mexicanus","Fringillidae",42.27,-83.73,1991,2,7,0.216727151,1,TRUE,0.216727150618775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
13,"Stercorarius_maccormicki","Stercorariidae",-77.52,167.77,1988,1,1,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
14,"Anarhynchus_alexandrinus","Charadriidae",16.8,41.88,2011,4,7,0.001263371,1,TRUE,0.00126337057285477,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
15,"Anser_caerulescens","Anatidae",67.23,-100.27,1995,6,7,0.110610535,1,TRUE,0.110610535460433,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
16,"Anser_rossii","Anatidae",67.23,-100.27,1995,6,7,0.110610535,1,TRUE,0.110610535460433,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
17,"Chlidonias_hybrida","Laridae",51.73,18.63,2012,5,8,0.589165188,1,TRUE,0.589165188273945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
18,"Ciconia_ciconia","Ciconiidae",44,5,2012,NA,NA,NA,0,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Missing coordinates, study year, or first breeding month"
19,"Cinclus_cinclus","Cinclidae",60.38,10.52,1998,4,6,0.198457102,1,TRUE,0.198457102383744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
20,"Delichon_urbicum","Hirundinidae",61.42,8.87,1992,7,7,0.431062596,1,TRUE,0.431062596061479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
21,"Setophaga_aestiva","Parulidae",58.67,-94.42,1994,5,7,0.278085041,1,TRUE,0.278085041403259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
22,"Diomedea_exulans","Diomedeidae",-46.42,51.75,2001,11,10,0.11438,1,TRUE,0.11438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
23,"Diomedea_exulans","Diomedeidae",-49.25,69.53,2002,12,11,0.083433333,1,TRUE,0.0834333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
24,"Eudyptes_pachyrhynchus","Spheniscidae",-43.83,168.88,1990,7,9,0.203124146,1,TRUE,0.203124146341463,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
25,"Eudyptes_schlegeli","Spheniscidae",-54.5,158.95,1991,10,12,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
26,"Falco_eleonorae","Falconidae",38,24.98,1991,5,10,0.421584032,1,TRUE,0.421584032476319,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
27,"Falco_naumanni","Falconidae",37.17,-6.35,2003,3,7,0.38759244,1,TRUE,0.387592440347072,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
28,"Falco_naumanni","Falconidae",41.35,-0.18,1993,4,7,0.245953619,1,TRUE,0.245953619209265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
29,"Ficedula_albicollis","Muscicapidae",57.17,18.33,1994,5,7,0.393761224,1,TRUE,0.393761223709369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
30,"Ficedula_hypoleuca","Muscicapidae",40.8,-4.02,2010,5,6,0.556154809,1,TRUE,0.556154809381134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
31,"Ficedula_hypoleuca","Muscicapidae",59.98,10.63,1989,5,7,0.454304778,1,TRUE,0.454304777853725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
33,"Ficedula_hypoleuca","Muscicapidae",59.97,10.78,1992,5,6,0.407958871,1,TRUE,0.407958870847609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
34,"Ficedula_hypoleuca","Muscicapidae",59.83,17.67,1987,5,6,0.445463519,1,TRUE,0.445463518594476,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
35,"Ficedula_hypoleuca","Muscicapidae",40.8,-4.02,2003,5,6,0.585655068,1,TRUE,0.585655068451782,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
36,"Ficedula_hypoleuca","Muscicapidae",40.8,-4.02,2011,5,6,0.586432102,1,TRUE,0.586432101872358,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
37,"Ficedula_hypoleuca","Muscicapidae",62.62,26.33,1990,5,6,0.441514642,1,TRUE,0.441514642418761,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
38,"Ficedula_hypoleuca","Muscicapidae",62.62,26.33,1992,5,6,0.426226007,1,TRUE,0.426226006792819,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
39,"Ficedula_hypoleuca","Muscicapidae",52.03,5.85,2014,4,6,0.606267848,1,TRUE,0.606267848472164,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
40,"Fregata_minor","Fregatidae",23.75,-166.02,2007,2,6,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
41,"Fulmarus_glacialis","Procellariidae",59.53,-1.62,1988,3,NA,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
42,"Hirundo_rustica","Hirundinidae",45.43,8.62,1994,3,6,0.149265656,1,TRUE,0.149265656035141,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
