"Clements_name","family","n_records","any_ndvi_available","all_missing_input","all_masked","no_ndvi_available","species_loss_category"
"Acrocephalus_sechellensis","Acrocephalidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Agelaius_phoeniceus","Icteridae",2,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Agelaius_xanthomus","Icteridae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Alauda_arvensis","Alaudidae",4,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Alle_alle","Alcidae",1,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Anarhynchus_alexandrinus","Charadriidae",1,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Astur_cooperii","Accipitridae",12,FALSE,FALSE,FALSE,TRUE,"Mixed NDVI failure mechanisms"
"Calidris_alba","Scolopacidae",6,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Chloebia_gouldiae","Estrildidae",2,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Ciconia_ciconia","Ciconiidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Cygnus_atratus","Anatidae",3,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Eudyptes_pachyrhynchus","Spheniscidae",1,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Eudyptes_schlegeli","Spheniscidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Fratercula_arctica","Alcidae",2,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Fregata_minor","Fregatidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Fulmarus_glacialis","Procellariidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Geospiza_fortis","Thraupidae",2,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Gulosus_aristotelis","Phalacrocoracidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Lanius_isabellinus","Laniidae",3,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Morus_serrator","Sulidae",1,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Pachyptila_belcheri","Procellariidae",1,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Passer_ammodendri","Passeridae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Passerculus_sandwichensis","Passerellidae",2,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Petroica_longipes","Petroicidae",8,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Petronia_petronia","Passeridae",4,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Phalaropus_tricolor","Scolopacidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Phoebastria_irrorata","Diomedeidae",4,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Pipilo_maculatus","Passerellidae",3,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Plectrophenax_nivalis","Calcariidae",5,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Poecile_cinctus","Paridae",6,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Porphyrio_hochstetteri","Rallidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Pygoscelis_adeliae","Spheniscidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Pygoscelis_antarcticus","Spheniscidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Quelea_quelea","Ploceidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Remiz_coronatus","Remizidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Setophaga_caerulescens","Parulidae",4,TRUE,FALSE,FALSE,FALSE,"At least one NDVI value available; removed by another requirement"
"Stercorarius_maccormicki","Stercorariidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Sula_granti","Sulidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Sula_nebouxii","Sulidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Sula_sula","Sulidae",1,FALSE,TRUE,FALSE,TRUE,"All records lack coordinates or season date"
"Thalassarche_chrysostoma","Diomedeidae",2,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Thalassarche_melanophris","Diomedeidae",2,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
"Thalassoica_antarctica","Procellariidae",1,FALSE,FALSE,TRUE,TRUE,"All records have no valid pixel after masking"
