"species_phylo","family","n_records","adjusted_epp_mean","adjusted_epp_median","adjusted_epp_lower_95","adjusted_epp_upper_95","total_epp_broods","total_broods","raw_epp_rate"
"Geospiza_fortis","Thraupidae",2,0.417049937421647,0.410950642847594,0.208016042225764,0.655450882350719,54,124,0.435483870967742
"Sicalis_flaveola","Thraupidae",3,0.462359837308501,0.45860908417814,0.236101385593769,0.699585812553081,28,54,0.518518518518518
"Microspingus_torquatus","Thraupidae",3,0.415521394021417,0.409630250855356,0.197751191734945,0.66334538489122,15,35,0.428571428571429
"Volatinia_jacarina","Thraupidae",4,0.399463304662064,0.394997393071613,0.212452243984897,0.608761805874022,36,106,0.339622641509434
"Passerina_cyanea","Cardinalidae",1,0.431108588124542,0.425826419792677,0.195967460437556,0.694323141665168,12,25,0.48
"Cardinalis_cardinalis","Cardinalidae",1,0.27949069564854,0.269058171788185,0.0923817694484454,0.536773052761727,3,19,0.157894736842105
"Setophaga_aestiva","Parulidae",1,0.356567099846604,0.345888106366431,0.1334055941044,0.62720479290488,3,12,0.25
"Setophaga_caerulescens","Parulidae",4,0.382932420943108,0.378093772800843,0.185544811910414,0.609510401882584,40,117,0.341880341880342
"Setophaga_ruticilla","Parulidae",5,0.561674957875914,0.564585133067444,0.35330663673661,0.75309902167577,38,60,0.633333333333333
"Vermivora_chrysoptera","Parulidae",1,0.577165968818621,0.583799138780416,0.310598430282634,0.822112518320855,13,17,0.764705882352941
"Agelaius_phoeniceus","Icteridae",2,0.458162151750537,0.45658528792698,0.244799052163131,0.674515739589043,23,47,0.48936170212766
"Agelaius_xanthomus","Icteridae",1,0.391159963651478,0.385130587857027,0.163979560957893,0.641635001082039,11,30,0.366666666666667
"Icterus_galbula","Icteridae",2,0.438170016980749,0.433784705449874,0.209478109707626,0.684628927623495,22,48,0.458333333333333
"Pipilo_maculatus","Passerellidae",3,0.447300144890251,0.445243483595213,0.233257150640984,0.668671746312497,103,228,0.451754385964912
"Melospiza_melodia","Passerellidae",1,0.383823505787049,0.378219479733822,0.13955371239952,0.668612268133131,3,10,0.3
"Passerculus_sandwichensis","Passerellidae",2,0.56829364105729,0.572886230217743,0.325919952055888,0.782695584009032,79,116,0.681034482758621
"Zonotrichia_leucophrys","Passerellidae",6,0.449455476296184,0.447669945641238,0.268418685837139,0.633546171127579,74,158,0.468354430379747
"Zonotrichia_capensis","Passerellidae",2,0.533868704866966,0.534188529908373,0.2947935237224,0.758919563972032,13,21,0.619047619047619
"Ammodramus_savannarum","Passerellidae",5,0.530922484019223,0.531981357043501,0.302951178493765,0.749565257935526,77,124,0.620967741935484
"Emberiza_schoeniclus","Emberizidae",6,0.512327841639534,0.511329862884284,0.333504568220272,0.696335493803168,160,302,0.529801324503311
"Plectrophenax_nivalis","Calcariidae",5,0.264933054622265,0.256583477156708,0.108435458134007,0.476424100966688,19,91,0.208791208791209
"Spinus_tristis","Fringillidae",1,0.291547474024875,0.278006121515784,0.0993410918779218,0.562689368173703,4,15,0.266666666666667
"Linaria_cannabina","Fringillidae",2,0.212394905211472,0.198422536400755,0.064311294454067,0.449970701486632,2,22,0.0909090909090909
"Haemorhous_mexicanus","Fringillidae",1,0.230826943666583,0.216069660861226,0.0761137842785001,0.468999352833001,5,35,0.142857142857143
"Passer_domesticus","Passeridae",20,0.269934730778614,0.268292532259274,0.188031854899096,0.361276990286913,233,833,0.279711884753902
"Passer_ammodendri","Passeridae",1,0.351503783865911,0.342660050344076,0.153131763325296,0.600936444476994,33,85,0.388235294117647
"Passer_montanus","Passeridae",1,0.270340559589179,0.255284691737872,0.0918719090618694,0.538689291546955,4,19,0.210526315789474
"Petronia_petronia","Passeridae",4,0.303429460923013,0.29470884940344,0.131556760153497,0.521814717109477,24,77,0.311688311688312
"Quelea_quelea","Ploceidae",1,0.31909995793374,0.309146289400701,0.121510735075567,0.578925815368528,12,37,0.324324324324324
"Poephila_acuticauda","Estrildidae",3,0.26314052008264,0.253849426982028,0.108122089247066,0.471816451052083,26,101,0.257425742574257
"Taeniopygia_guttata","Estrildidae",3,0.139681718869478,0.127769392077248,0.0403328181729705,0.303683917633267,2,45,0.0444444444444444
"Chloebia_gouldiae","Estrildidae",2,0.246267903225191,0.233092276589497,0.0943222007305076,0.469277200088751,18,84,0.214285714285714
"Turdus_grayi","Turdidae",2,0.419273813248462,0.411581104261308,0.185973518984109,0.690828952470809,10,19,0.526315789473684
"Hylocichla_mustelina","Turdidae",3,0.206659697789599,0.192504354417119,0.071976145019362,0.42247934295887,7,51,0.137254901960784
"Sialia_mexicana","Turdidae",3,0.536302818617789,0.538030658168322,0.280875749843663,0.767276415388333,51,76,0.671052631578947
"Oenanthe_oenanthe","Muscicapidae",3,0.358115214146644,0.352022382866501,0.179449086079303,0.571218391411056,18,45,0.4
"Phoenicurus_phoenicurus","Muscicapidae",2,0.190204948743471,0.177116096402862,0.0612426411827668,0.4009765443353,4,38,0.105263157894737
"Ficedula_albicollis","Muscicapidae",5,0.31987578622108,0.313724974707172,0.165754087811496,0.511578489348688,53,157,0.337579617834395
"Ficedula_hypoleuca","Muscicapidae",20,0.240789344504649,0.239398740185351,0.169586415508509,0.322497453063668,310,1237,0.250606305578011
"Luscinia_svecica","Muscicapidae",13,0.355622209639452,0.35194000319207,0.202933009841006,0.535297169395989,166,366,0.453551912568306
"Cinclus_cinclus","Cinclidae",1,0.156102077905018,0.141307486961858,0.041223277649146,0.362810454356643,2,40,0.05
"Sturnus_unicolor","Sturnidae",4,0.31025242866429,0.304725186890662,0.164570006591535,0.478690260829073,82,311,0.263665594855305
"Sturnus_vulgaris","Sturnidae",8,0.411348883083353,0.408536629759452,0.247920310102044,0.582016976105656,55,126,0.436507936507937
"Thryophilus_pleurostictus","Troglodytidae",4,0.168756569833272,0.154601792054833,0.0548702402621268,0.366253615035193,5,50,0.1
"Troglodytes_aedon","Troglodytidae",1,0.13537597874634,0.117656122076467,0.0275367485692763,0.338566079645859,0,23,0
"Cistothorus_stellaris","Troglodytidae",5,0.404709944879626,0.399979445454909,0.224716610131005,0.608833232666127,50,109,0.458715596330275
"Suthora_webbiana","Paradoxornithidae",2,0.286257995012809,0.271842769342086,0.107246647769782,0.528681162861116,13,50,0.26
"Phylloscopus_trochilus","Phylloscopidae",3,0.405505444157571,0.401290068844459,0.196989185709135,0.639327750059548,12,27,0.444444444444444
"Aegithalos_caudatus","Aegithalidae",20,0.306530542703224,0.298790268647379,0.139967148277031,0.511183586283065,75,245,0.306122448979592
"Tachycineta_albilinea","Hirundinidae",2,0.274064414911457,0.265414105845692,0.117453683965983,0.481941284266068,12,53,0.226415094339623
"Tachycineta_leucopyga","Hirundinidae",2,0.252509390924624,0.240968065706613,0.0895705030531949,0.477686953974155,7,46,0.152173913043478
"Tachycineta_bicolor","Hirundinidae",12,0.755402287083502,0.759809890686683,0.628813116006456,0.85248596543225,650,782,0.831202046035806
"Riparia_riparia","Hirundinidae",1,0.366771352760807,0.359043183165419,0.152292447431051,0.625837808321845,15,41,0.365853658536585
"Delichon_urbicum","Hirundinidae",1,0.457988306421748,0.451204273828428,0.19339369445451,0.744377593122428,6,10,0.6
"Hirundo_rustica","Hirundinidae",10,0.363646428230668,0.360805726966359,0.25046078492312,0.482486614912537,189,515,0.366990291262136
"Acrocephalus_arundinaceus","Acrocephalidae",10,0.134675456432532,0.126048165421972,0.0568853391801685,0.261587107533255,13,180,0.0722222222222222
"Acrocephalus_sechellensis","Acrocephalidae",1,0.338057032298423,0.327375953488388,0.138001748986699,0.603595127678028,18,45,0.4
"Acrocephalus_paludicola","Acrocephalidae",3,0.581245261681405,0.586060971841843,0.321596360750459,0.80973559680088,57,75,0.76
"Acrocephalus_schoenobaenus","Acrocephalidae",9,0.235399660376684,0.227748380404161,0.114598672218497,0.395752346437926,26,129,0.201550387596899
"Acrocephalus_scirpaceus","Acrocephalidae",6,0.248872532298188,0.239267959560615,0.106171519560304,0.44618011542747,56,258,0.217054263565891
"Locustella_luscinioides","Locustellidae",6,0.14409434418046,0.132222444470354,0.0469148025349179,0.31288537849115,7,101,0.0693069306930693
"Prinia_flaviventris","Cisticolidae",1,0.277295174027634,0.262305747253622,0.0811831569467049,0.551233499990748,3,13,0.230769230769231
"Alauda_arvensis","Alaudidae",4,0.305165676664582,0.294314009421542,0.115871649130468,0.558070946039784,11,37,0.297297297297297
"Poecile_cinctus","Paridae",6,0.4027537318934,0.397668891866144,0.175114197299168,0.645129948471224,11,27,0.407407407407407
"Sittiparus_varius","Paridae",3,0.403094274821057,0.39668187069357,0.180474877764787,0.650531831594464,16,40,0.4
"Periparus_ater","Paridae",5,0.659510781269219,0.66384514849204,0.482609650696978,0.806401491157613,283,416,0.680288461538462
"Parus_major","Paridae",15,0.344461209966856,0.34268776279931,0.246739271896194,0.452562994479538,210,709,0.296191819464034
"Cyanistes_caeruleus","Paridae",24,0.438806836645192,0.437288806091455,0.338323882350121,0.543505779508777,365,898,0.406458797327394
"Remiz_coronatus","Remizidae",1,0.195461097547138,0.169378955351733,0.0393270160634405,0.493491559184521,0,5,0
"Petroica_longipes","Petroicidae",8,0.0634405619998551,0.05597448932374,0.0154054707441616,0.150628755991413,1,70,0.0142857142857143
"Philesturnus_carunculatus","Callaeidae",6,0.0549255768761151,0.0462176773957014,0.0115663503677506,0.151855129276392,0,109,0
"Notiomystis_cincta","Notiomystidae",7,0.552896292770746,0.558258506279589,0.306270725803105,0.771724557485206,327,486,0.672839506172839
"Aphelocoma_wollweberi","Corvidae",6,0.110782673289008,0.101115391488463,0.0389991235015828,0.238634155040698,20,378,0.0529100529100529
"Cyanocitta_stelleri","Corvidae",3,0.179100599084762,0.165090604485899,0.0568787968127447,0.382263011145892,6,41,0.146341463414634
"Lanius_bucephalus","Laniidae",1,0.182449760793873,0.165558679260816,0.0473331767714178,0.401799221037746,4,24,0.166666666666667
"Lanius_isabellinus","Laniidae",3,0.107471523918468,0.0956724927850285,0.0289082592510362,0.259109276414336,2,61,0.0327868852459016
"Rhipidura_albiscapa","Rhipiduridae",3,0.48320025781201,0.480593344376905,0.225585398193941,0.751168828034933,16,25,0.64
"Gymnorhina_tibicen","Artamidae",3,0.659606844092732,0.672831883175389,0.385295239928861,0.876866584394676,28,32,0.875
"Manorina_melanocephala","Meliphagidae",2,0.111300646113335,0.0950767699767119,0.022607695436734,0.288031031984278,1,31,0.032258064516129
"Acanthiza_pusilla","Acanthizidae",3,0.169604824154891,0.154542643477232,0.0530994977105643,0.368883195690933,8,67,0.119402985074627
"Malurus_lamberti","Maluridae",9,0.515281996714874,0.516386422229607,0.357713971663875,0.670503018340927,193,376,0.513297872340426
"Malurus_melanocephalus","Maluridae",8,0.580834873065559,0.586869505101315,0.349677272906492,0.785352221954101,157,231,0.67965367965368
"Malurus_splendens","Maluridae",12,0.51473479357515,0.514583826587647,0.336505044678847,0.698536202786618,176,318,0.553459119496855
"Stipiturus_malachurus","Maluridae",3,0.210660290972143,0.193547102391636,0.060105560556553,0.45870374520195,3,24,0.125
"Aphrastura_spinicauda","Furnariidae",12,0.173681770372538,0.165987056122181,0.0815812460198206,0.302582187065384,47,266,0.176691729323308
"Furnarius_rufus","Furnariidae",3,0.113870433887027,0.100492283383668,0.028154727878384,0.2669491697134,3,46,0.0652173913043478
"Empidonax_traillii","Tyrannidae",6,0.261839492482629,0.250765749559767,0.0994109686330163,0.493271655961516,12,56,0.214285714285714
"Empidonax_virescens","Tyrannidae",4,0.46381658702795,0.463177425695443,0.233370759814808,0.710052451657698,31,53,0.584905660377358
"Tyrannus_forficatus","Tyrannidae",7,0.336046759456796,0.32763139077787,0.152154530918378,0.561178203201323,49,140,0.35
"Tyrannus_tyrannus","Tyrannidae",3,0.30410718703203,0.293633214814564,0.13764383267776,0.52055076053123,54,183,0.295081967213115
"Cyanoliseus_patagonus","Psittacidae",2,0.0574085979052242,0.0453491771878411,0.00834444326017401,0.175810533551848,0,49,0
"Myiopsitta_monachus","Psittacidae",3,0.295283831555975,0.28786856037468,0.123218072185245,0.519392173866562,23,60,0.383333333333333
"Falco_eleonorae","Falconidae",1,0.054399465791967,0.0419387964088483,0.00661532908211644,0.170773430661601,0,17,0
"Falco_tinnunculus","Falconidae",3,0.0504925513730561,0.041461607043031,0.00949219392735941,0.140186692431914,2,75,0.0266666666666667
"Falco_naumanni","Falconidae",2,0.0870414219682147,0.074695338160152,0.0179616570657584,0.222117517225499,3,31,0.0967741935483871
"Astur_gentilis","Accipitridae",3,0.0847161340135319,0.0723605471204758,0.0169583602550166,0.221933207307198,1,39,0.0256410256410256
"Astur_cooperii","Accipitridae",12,0.258428085050305,0.252220892333518,0.127418524068746,0.425134509028704,49,164,0.298780487804878
"Megascops_asio","Strigidae",1,0.0461074848043209,0.0340106266348475,0.00399910504872796,0.158815797438578,0,23,0
"Strix_aluco","Strigidae",1,0.0600200583077076,0.0472218086178399,0.00792631506179292,0.18422937535568,1,37,0.027027027027027
"Alcedo_atthis","Alcedinidae",3,0.059593171926178,0.049359119192339,0.0120196383540048,0.162473411829964,3,87,0.0344827586206897
"Coracias_garrulus","Coraciidae",5,0.064860907492805,0.0538580923026323,0.0118065973255571,0.183612276255879,2,49,0.0408163265306122
"Melanerpes_formicivorus","Picidae",3,0.0814952758580197,0.0703795999546816,0.0219320310796913,0.200775087442349,12,195,0.0615384615384615
"Jynx_torquilla","Picidae",3,0.0597637030775205,0.048823092788804,0.0098338598262855,0.170301251926843,2,50,0.04
"Upupa_epops","Upupidae",2,0.136722518718413,0.125176296477651,0.0381184221921373,0.307019802949391,9,61,0.147540983606557
"Calonectris_diomedea","Procellariidae",2,0.131909864293408,0.119069219952823,0.0391271642082862,0.287713881850316,8,68,0.117647058823529
"Calonectris_leucomelas","Procellariidae",3,0.146879290311273,0.135063851840033,0.0471857896845233,0.31126915796715,17,113,0.150442477876106
"Pachyptila_belcheri","Procellariidae",1,0.16441782218028,0.146350958798122,0.0377876035178635,0.384544973761664,7,34,0.205882352941176
"Fulmarus_glacialis","Procellariidae",1,0.056325938111759,0.0441547132135935,0.00772619843750166,0.174869576098279,0,28,0
"Thalassoica_antarctica","Procellariidae",1,0.0918073648805797,0.077437825587747,0.0173594772494566,0.251529251663982,3,41,0.0731707317073171
"Thalassarche_chrysostoma","Diomedeidae",2,0.0837490065784054,0.0735403865534412,0.0199304972078303,0.207450024586437,6,83,0.072289156626506
"Thalassarche_melanophris","Diomedeidae",2,0.0714626874047773,0.0617162331673433,0.0155241970437082,0.185049176004326,4,81,0.0493827160493827
"Diomedea_exulans","Diomedeidae",7,0.138701949092216,0.133155374617965,0.0693172117409144,0.237606089109771,67,425,0.157647058823529
"Phoebastria_irrorata","Diomedeidae",4,0.172313869570864,0.160887081698248,0.0623122477479864,0.347461002544006,30,171,0.175438596491228
"Eudyptes_pachyrhynchus","Spheniscidae",1,0.0602966622760202,0.0491822811441508,0.0088028173191458,0.181856641859216,0,24,0
"Eudyptes_schlegeli","Spheniscidae",1,0.0900810523241071,0.0742164896876004,0.0153389685623262,0.254221650954593,1,13,0.0769230769230769
"Spheniscus_magellanicus","Spheniscidae",2,0.268683937621682,0.256004243715427,0.0885010924225682,0.521584010926352,21,44,0.477272727272727
"Spheniscus_humboldti","Spheniscidae",1,0.083021376314915,0.0691507541097029,0.0137751398026002,0.232834161153723,0,21,0
"Pygoscelis_antarcticus","Spheniscidae",1,0.0529707574486158,0.0419665200157545,0.0074351883303216,0.166673572556871,0,38,0
"Pygoscelis_adeliae","Spheniscidae",1,0.0996519789717362,0.0824897181277468,0.0174948001472971,0.268372523497332,2,18,0.111111111111111
"Ardea_ibis","Ardeidae",2,0.509900337657171,0.510262605908321,0.280987952850415,0.738235321309987,38,62,0.612903225806452
"Gulosus_aristotelis","Phalacrocoracidae",1,0.132832751588468,0.111817784151502,0.0217642969211011,0.344639175507002,3,20,0.15
"Sula_granti","Sulidae",1,0.0465956921848069,0.0356713974918802,0.00606574359478634,0.150952985015936,0,21,0
"Sula_nebouxii","Sulidae",1,0.0764781304591273,0.0643550062426594,0.0128739892858746,0.207593492676674,48,453,0.105960264900662
"Sula_sula","Sulidae",1,0.0479979774673186,0.0357078997909952,0.0053089293838539,0.159132451046389,0,14,0
"Morus_serrator","Sulidae",1,0.0407575364201981,0.0304223062895174,0.00458815719382584,0.137536747013035,0,30,0
"Fregata_minor","Fregatidae",1,0.105036694628522,0.0864968596335602,0.0170886266028201,0.295014624533647,4,46,0.0869565217391304
"Ciconia_ciconia","Ciconiidae",1,0.22729183382588,0.210509495014181,0.0636832968302011,0.482505184124468,39,145,0.268965517241379
"Chroicocephalus_ridibundus","Laridae",1,0.19881260913791,0.180381149641008,0.0490367339846009,0.450329614133282,10,30,0.333333333333333
"Sterna_hirundo","Laridae",1,0.074171001055515,0.0614340827808043,0.0129273479675247,0.206421135046089,1,34,0.0294117647058824
"Chlidonias_hybrida","Laridae",1,0.102057644574211,0.0849327874185752,0.0174364141650578,0.280914562934698,2,17,0.117647058823529
"Alle_alle","Alcidae",1,0.0457815677710569,0.0347588490111608,0.0052085231756203,0.149076323865216,0,26,0
"Fratercula_arctica","Alcidae",2,0.040095743990707,0.0311005266187372,0.00490886718420514,0.127456479878531,0,38,0
"Stercorarius_maccormicki","Stercorariidae",1,0.0829339234210505,0.0665986177529915,0.0121210805174497,0.247913794474818,1,13,0.0769230769230769
"Calidris_mauri","Scolopacidae",1,0.0931438670622185,0.0787805827497208,0.0177195525575235,0.258185112846759,2,25,0.08
"Calidris_alba","Scolopacidae",6,0.0748121980105417,0.0639091920717192,0.0160653048931135,0.193701670033883,2,39,0.0512820512820513
"Phalaropus_tricolor","Scolopacidae",1,0.0665146956701748,0.0511958624505339,0.00736507537040118,0.216576755388894,0,15,0
"Actitis_hypoleucos","Scolopacidae",2,0.137252005092923,0.118795691328445,0.0259329632241645,0.344586657015751,5,27,0.185185185185185
"Bartramia_longicauda","Scolopacidae",5,0.240054087820794,0.227076199672106,0.0853190309131188,0.468393558336544,17,56,0.303571428571429
"Anarhynchus_alexandrinus","Charadriidae",1,0.0626605895028028,0.0454950600148072,0.005285300412483,0.217030202012606,0,12,0
"Charadrius_semipalmatus","Charadriidae",2,0.0703719280805859,0.0564285085387432,0.0106564787819676,0.214051707686992,1,24,0.0416666666666667
"Pluvialis_dominica","Charadriidae",6,0.132457542521793,0.117210300610216,0.0318377055541908,0.318761609713978,6,37,0.162162162162162
"Rallus_aquaticus","Rallidae",1,0.113419536393172,0.0879585854206961,0.0112912330150466,0.36044025734605,1,6,0.166666666666667
"Gallinula_chloropus","Rallidae",2,0.0549340491112077,0.0401902736648964,0.00454438173797262,0.188742179895867,0,13,0
"Porphyrio_hochstetteri","Rallidae",1,0.063047828034049,0.0434432382725977,0.00479304129470442,0.234217492851392,0,9,0
"Anas_platyrhynchos","Anatidae",1,0.346938647471872,0.3358458573718,0.126582877288968,0.63071318298172,12,25,0.48
"Mareca_strepera","Anatidae",1,0.262748456127837,0.246022683850011,0.0833609939790801,0.523130794367194,8,29,0.275862068965517
"Anser_caerulescens","Anatidae",1,0.154167571046278,0.139282061971847,0.0402337211435876,0.350570869615793,3,23,0.130434782608696
"Anser_rossii","Anatidae",1,0.138668997871146,0.124048393124415,0.0354952824320136,0.325929570359324,2,24,0.0833333333333333
"Branta_leucopsis","Anatidae",4,0.133248127616263,0.122758234043031,0.0495272558670389,0.275721904128584,10,72,0.138888888888889
"Branta_canadensis","Anatidae",3,0.121068701542447,0.10994126863625,0.0314952785714809,0.273268597751735,4,42,0.0952380952380952
"Cygnus_atratus","Anatidae",3,0.295889470682865,0.286361649941156,0.11838771121263,0.540153010580224,32,85,0.376470588235294
"Lagopus_lagopus","Phasianidae",4,0.102018528262818,0.0886323247496155,0.019133770189885,0.263197730321327,2,27,0.0740740740740741
"Lagopus_leucura","Phasianidae",3,0.138992273741404,0.120402915240679,0.0283275297256132,0.36115596912615,2,13,0.153846153846154
