"locality","locality_lat","locality_lon","location_ids","population_ids","species","n_model_records","n_populations","n_species","assigned_cru_cell_lat","assigned_cru_cell_lon","locality_to_cell_distance_km","max_abs_difference_temperature_C","max_abs_difference_precipitation_mm","mapping_evidence"
"-55.066700, -67.666700",-55.0667,-67.6667,"212","Aphrastura_spinicauda_-55.07_-67.67","Aphrastura_spinicauda",6,1,1,-55.25,-67.75,21.0578054385232,3.67431418624165e-10,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-54.730000, -68.200000",-54.73,-68.2,"131","Tachycineta_leucopyga_-54.73_-68.2","Tachycineta_leucopyga",2,1,1,-54.75,-68.25,3.90475684505725,3.67431418624165e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-49.250000, 69.530000",-49.25,69.53,"22","Diomedea_exulans_-49.25_69.53","Diomedea_exulans",1,1,1,-49.25,69.75,15.968402440861,2.65136357313622e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-47.750000, -65.883300",-47.75,-65.8833,"223","Spheniscus_magellanicus_-47.75_-65.88","Spheniscus_magellanicus",2,1,1,-47.75,-65.75,9.96602411897454,1.02295061310542e-10,3.67431418624165e-10,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-46.900000, 168.100000",-46.9,168.1,"166","Philesturnus_carunculatus_-46.9_168.1","Philesturnus_carunculatus",6,1,1,-46.75,168.25,20.2099250403672,4.69727368113126e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-46.870000, 37.680000",-46.87,37.68,"95","Diomedea_exulans_-46.87_37.68","Diomedea_exulans",2,1,1,-46.75,37.75,14.3675514997122,3.67431418624165e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-46.420000, 51.750000",-46.42,51.75,"21","Diomedea_exulans_-46.42_51.75","Diomedea_exulans",1,1,1,-46.25,51.75,18.9031636397008,3.67431418624165e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-41.050000, -62.800000",-41.05,-62.8,"91","Cyanoliseus_patagonus_-41.05_-62.8","Cyanoliseus_patagonus",2,1,1,-41.25,-62.75,22.6296270944509,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-38.380000, 141.600000",-38.38,141.6,"228","Stipiturus_malachurus_-38.38_141.6","Stipiturus_malachurus",2,1,1,-38.25,141.75,19.4992592224761,7.34862837248329e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-36.600000, 174.880000",-36.6,174.88,"117","Notiomystis_cincta_-36.6_174.88","Notiomystis_cincta",7,1,1,-36.75,174.75,20.3128530444912,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-35.566700, -58.016700",-35.5667,-58.0167,"216","Sicalis_flaveola_-35.57_-58.02","Sicalis_flaveola",3,1,1,-35.75,-58.25,29.320738649455,2.93945134899332e-09,2.23632810048002e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-35.450000, 149.280000",-35.45,149.28,"178","Rhipidura_albiscapa_-35.45_149.28","Rhipidura_albiscapa",3,1,1,-35.25,149.25,22.4048373987751,1.46972567449666e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-35.270000, 149.100000",-35.27,149.1,"74","Acanthiza_pusilla_-35.27_149.1","Acanthiza_pusilla",3,1,1,-35.25,149.25,13.7996732137524,1.02295061310542e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-34.350000, 139.483300",-34.35,139.4833,"194","Malurus_lamberti_-34.35_139.48","Malurus_lamberti",4,1,1,-34.25,139.25,24.1435031343925,2.20459028810183e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-34.350000, 139.500000",-34.35,139.5,"152","Malurus_splendens_-34.35_139.5","Malurus_splendens",6,1,1,-34.25,139.75,25.5149346829768,2.93945134899332e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-34.330000, 139.030000",-34.33,139.03,"147","Malurus_splendens_-34.33_139.03","Malurus_splendens",6,1,1,-34.25,139.25,22.0821942524517,1.46972567449666e-09,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-32.633300, -69.366700",-32.6333,-69.3667,"218","Cistothorus_stellaris_-32.63_-69.37","Cistothorus_stellaris",3,1,1,-32.75,-69.25,16.9603564297804,2.65136357313622e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-31.900000, 115.980000",-31.9,115.98,"145","Gymnorhina_tibicen_-31.9_115.98","Gymnorhina_tibicen",3,1,1,-31.75,115.75,27.3932549896458,1.46972567449666e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-31.670000, -62.820000",-31.67,-62.82,"70","Myiopsitta_monachus_-31.67_-62.82","Myiopsitta_monachus",1,1,1,-31.75,-62.75,11.089580540953,1.46972567449666e-09,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-31.080000, 142.700000",-31.08,142.7,"132","Taeniopygia_guttata_-31.08_142.7","Taeniopygia_guttata",3,1,1,-31.25,142.75,19.4926181288435,7.34862837248329e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-30.633300, -71.666700",-30.6333,-71.6667,"211","Aphrastura_spinicauda_-30.63_-71.67","Aphrastura_spinicauda",6,1,1,-30.75,-71.75,15.2260191036465,2.20459028810183e-09,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-28.050000, -64.250000",-28.05,-64.25,"210","Microspingus_torquatus_-28.05_-64.25","Microspingus_torquatus",3,1,1,-28.25,-64.25,22.2390160467065,4.40918057620365e-09,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-27.330000, 152.550000",-27.33,152.55,"148","Manorina_melanocephala_-27.33_152.55","Manorina_melanocephala",2,1,1,-27.25,152.75,21.6734293879546,2.20459028810183e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-27.266700, 152.683300",-27.2667,152.6833,"220","Malurus_lamberti_-27.27_152.68","Malurus_lamberti",4,1,1,-27.25,152.75,6.84960680158078,2.93945134899332e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-22.500000, -47.583300",-22.5,-47.5833,"233","Ardea_ibis_-22.5_-47.58","Ardea_ibis",1,1,1,-22.75,-47.75,32.6422015553556,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-17.370000, 125.750000",-17.37,125.75,"146","Malurus_melanocephalus_-17.37_125.75","Malurus_melanocephalus",8,1,1,-17.25,125.75,13.3434096280241,4.40918057620365e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-15.950000, -47.930000",-15.95,-47.93,"62","Volatinia_jacarina_-15.95_-47.93","Volatinia_jacarina",1,1,1,-15.75,-47.75,29.4159014371428,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-15.930000, -47.930000",-15.93,-47.93,"137","Volatinia_jacarina_-15.93_-47.93","Volatinia_jacarina",3,1,1,-15.75,-47.75,27.7734234042407,1.46972567449666e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-15.760000, -47.860000",-15.76,-47.86,"209","Furnarius_rufus_-15.76_-47.86","Furnarius_rufus",3,1,1,-15.75,-47.75,11.8243412143862,4.40918057620365e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-15.550000, 128.000000",-15.55,128,"173","Poephila_acuticauda_-15.55_128","Poephila_acuticauda",3,1,1,-15.75,128.25,34.8009975046432,2.93945134899332e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-15.370000, -75.200000",-15.37,-75.2,"181","Spheniscus_humboldti_-15.37_-75.2","Spheniscus_humboldti",1,1,1,-15.25,-75.25,14.380625609498,4.40918057620365e-09,1.58142055006749e-10,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-0.370000, 36.080000",-0.37,36.08,"153","Melanerpes_formicivorus_-0.37_36.08","Melanerpes_formicivorus",3,1,1,-0.25,36.25,23.1379684758005,1.46972567449666e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"-0.350000, -78.150000",-0.35,-78.15,"63","Zonotrichia_capensis_-0.35_-78.15","Zonotrichia_capensis",1,1,1,-0.25,-78.25,15.7252502761949,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"9.120000, -79.700000",9.12,-79.7,"134","Turdus_grayi_9.12_-79.7","Turdus_grayi",2,1,1,9.25,-79.75,15.4622347956597,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"9.170000, -79.850000",9.17,-79.85,"190","Tachycineta_albilinea_9.17_-79.85","Tachycineta_albilinea",1,1,1,9.25,-79.75,14.128264639811,4.40918057620365e-09,1.75781167399691e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"10.670000, -85.500000",10.67,-85.5,"133","Thryophilus_pleurostictus_10.67_-85.5","Thryophilus_pleurostictus",4,1,1,10.75,-85.25,28.7265550763593,2.93945134899332e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"21.600000, 51.533300",21.6,51.5333,"208","Acrocephalus_scirpaceus_21.6_51.53","Acrocephalus_scirpaceus",6,1,1,21.75,51.75,27.9214911631309,2.93945134899332e-09,3.16284110013498e-10,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"23.650000, 107.066700",23.65,107.0667,"225","Prinia_flaviventris_23.65_107.07","Prinia_flaviventris",1,1,1,23.75,107.25,21.7245054057408,1.46972567449666e-09,3.51562334799382e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"28.420000, 16.380000",28.42,16.38,"55","Cyanistes_caeruleus_28.42_16.38","Cyanistes_caeruleus",1,1,1,28.25,16.25,22.7862896888266,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"31.920000, -109.250000",31.92,-109.25,"142","Aphelocoma_wollweberi_31.92_-109.25","Aphelocoma_wollweberi",6,1,1,31.75,-109.25,18.9031636397008,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"34.570000, 135.530000",34.57,135.53,"42","Lanius_bucephalus_34.57_135.53","Lanius_bucephalus",1,1,1,34.75,135.75,28.3811387511423,4.69727368113126e-10,2.23632810048002e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"34.740000, -98.670000",34.74,-98.67,"196","Tyrannus_forficatus_34.74_-98.67","Tyrannus_forficatus",7,1,1,34.75,-98.75,7.39358362654697,2.93945134899332e-09,2.58789043527941e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.000000, -83.000000",35,-83,"155","Passer_domesticus_35_-83","Passer_domesticus",3,1,1,34.75,-82.75,35.9567774767207,7.34862837248329e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.220000, 139.880000",35.22,139.88,"110","Hirundo_rustica_35.22_139.88","Hirundo_rustica",2,1,1,35.25,139.75,12.2692250206343,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.650000, -118.030000",35.65,-118.03,"99","Empidonax_traillii_35.65_-118.03","Empidonax_traillii",6,1,1,35.75,-118.25,22.7661659065589,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.700000, -83.200000",35.7,-83.2,"130","Passer_domesticus_35.7_-83.2","Passer_domesticus",2,1,1,35.75,-83.25,7.16122632461139,2.65137245492042e-10,2.58789043527941e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.880000, -106.030000",35.88,-106.03,"150","Sialia_mexicana_35.88_-106.03","Sialia_mexicana",3,1,1,35.75,-106.25,24.5453245145152,1.46972567449666e-09,7.34862837248329e-10,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"35.880000, -79.020000",35.88,-79.02,"161","Passerina_cyanea_35.88_-79.02","Passerina_cyanea",1,1,1,35.75,-79.25,25.2796385373457,4.40918057620365e-09,2.36327934999281e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"36.370000, -121.550000",36.37,-121.55,"111","Icterus_galbula_36.37_-121.55","Icterus_galbula",2,1,1,36.25,-121.75,22.3427746185937,2.20459028810183e-09,3.51565176970325e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"36.710000, -112.220000",36.71,-112.22,"154","Astur_gentilis_36.71_-112.22","Astur_gentilis",3,1,1,36.75,-112.25,5.18949718220261,1.46972567449666e-09,1.58142166029052e-10,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"36.920000, -25.170000",36.92,-25.17,"86","Calonectris_diomedea_36.92_-25.17","Calonectris_diomedea",1,1,1,36.75,-25.25,20.1995077886216,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.000000, -3.000000",37,-3,"60","Upupa_epops_37_-3","Upupa_epops",1,1,1,36.75,-2.75,35.5988341581883,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.120000, 138.020000",37.12,138.02,"109","Hirundo_rustica_37.12_138.02","Hirundo_rustica",2,1,1,37.25,138.25,24.9821003475024,2.65137245492042e-10,2.36327934999281e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.170000, -6.350000",37.17,-6.35,"26","Falco_naumanni_37.17_-6.35","Falco_naumanni",1,1,1,37.25,-6.25,12.5522031245666,1.46972567449666e-09,2.36327934999281e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.220000, -80.420000",37.22,-80.42,"108","Hirundo_rustica_37.22_-80.42","Hirundo_rustica",2,1,1,37.25,-80.25,15.415215351041,2.20459028810183e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.300000, -3.180000",37.3,-3.18,"89","Coracias_garrulus_37.3_-3.18","Coracias_garrulus",5,1,1,37.25,-3.25,8.32306341218847,2.20459028810183e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.530000, 127.030000",37.53,127.03,"119","Suthora_webbiana_37.53_127.03","Suthora_webbiana",2,1,1,37.75,127.25,31.2038428971357,1.46972567449666e-09,1.75781167399691e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.620000, -84.120000",37.62,-84.12,"44","Megascops_asio_37.62_-84.12","Megascops_asio",1,1,1,37.75,-84.25,18.4343377840012,1.02295061310542e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"37.650000, -84.120000",37.65,-84.12,"10","Cardinalis_cardinalis_37.65_-84.12","Cardinalis_cardinalis",1,1,1,37.75,-84.25,15.9517382161441,2.20459028810183e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"38.000000, 24.980000",38,24.98,"25","Falco_eleonorae_38_24.98","Falco_eleonorae",1,1,1,37.75,24.75,34.3556074088963,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"38.570000, -119.030000",38.57,-119.03,"138","Zonotrichia_leucophrys_38.57_-119.03","Zonotrichia_leucophrys",3,1,1,38.75,-119.25,27.6676849188262,1.46972567449666e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"38.830000, -6.980000",38.83,-6.98,"39","Hirundo_rustica_38.83_-6.98","Hirundo_rustica",1,1,1,38.75,-6.75,21.8290228562916,0,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.080000, -96.580000",39.08,-96.58,"82","Bartramia_longicauda_39.08_-96.58","Bartramia_longicauda",5,1,1,39.25,-96.75,23.9193060190427,2.93945134899332e-09,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.231100, -75.981900",39.2311,-75.9819,"200","Ammodramus_savannarum_39.23_-75.98","Ammodramus_savannarum",5,1,1,39.25,-75.75,20.0815523902972,2.20459028810183e-09,2.58789043527941e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.400000, 141.990000",39.4,141.99,"215","Calonectris_leucomelas_39.4_141.99","Calonectris_leucomelas",3,1,1,39.25,141.75,26.5399649677875,3.67431418624165e-10,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.550000, -4.330000",39.55,-4.33,"51","Parus_major_39.55_-4.33","Parus_major",1,1,1,39.75,-4.25,23.2698444475961,1.46972567449666e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.000000, -3.000000",40,-3,"213","Ficedula_hypoleuca_40_-3","Ficedula_hypoleuca",5,1,1,39.75,-2.75,35.041543274807,1.46972567449666e-09,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.020000, 122.930000",40.02,122.93,"127","Sittiparus_varius_40.02_122.93","Sittiparus_varius",3,1,1,40.25,122.75,29.8031447361649,7.90710830145258e-11,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.500000, -4.000000",40.5,-4,"185","Sturnus_unicolor_40.5_-4","Sturnus_unicolor",2,1,1,40.25,-3.75,34.9465809156409,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.630000, -8.680000",40.63,-8.68,"115","Locustella_luscinioides_40.63_-8.68","Locustella_luscinioides",6,1,1,40.75,-8.75,14.5903893523582,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.750000, -3.783300",40.75,-3.7833,"195","Malurus_lamberti_40.75_-3.78; Sturnus_unicolor_40.75_-3.78","Malurus_lamberti; Sturnus_unicolor",3,2,2,40.75,-3.75,2.80510870722688,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.800000, -4.020000",40.8,-4.02,"29","Ficedula_hypoleuca_40.8_-4.02","Ficedula_hypoleuca",3,1,1,40.75,-4.25,20.1495504345089,2.20459028810183e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.900000, -4.016700",40.9,-4.0167,"199","Cyanistes_caeruleus_40.9_-4.02","Cyanistes_caeruleus",1,1,1,40.75,-4.25,25.7594729408775,0,1.1816396749964e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
