epp_row_id,id_reference,scientific_name,Clements_name,order,family,family_common,scientific_name_jetz,breeding_system,level,common_name,lat,long,nest_box,marker_type,year_of_study_start,year_of_study_end,breeding_start,breeding_end,epp_percent_broods,n_epp_broods,n_wpp_broods,n_broods_sampled,record_id,lon,climate_year,climate_month,location_id,tmp_cru_C_first_month,tmp_long_base_1961_1989_C_first_month,tmp_long_anom_1961_1989_C_first_month,tmp_short_base_5yr_C_first_month,tmp_short_anom_5yr_C_first_month,original_end_month,tmp_cru_C_full_season,tmp_long_base_1961_1989_C_full_season,tmp_long_anom_1961_1989_C_full_season,tmp_short_base_5yr_C_full_season,tmp_short_anom_5yr_C_full_season,n_months_full_season,pre_cru_mm_first_month,pre_long_base_1961_1989_mm_first_month,pre_long_anom_1961_1989_mm_first_month,pre_short_base_5yr_mm_first_month,pre_short_anom_5yr_mm_first_month,pre_cru_mm_full_season,pre_long_base_1961_1989_mm_full_season,pre_long_anom_1961_1989_mm_full_season,pre_short_base_5yr_mm_full_season,pre_short_anom_5yr_mm_full_season,n_months_pre_full_season,dtr_cru_C_first_month,dtr_cru_C_full_season,breeding_start_month_num,breeding_end_month_num,breeding_season_length_months,ndvi_can_first_month,ndvi_can_full_season,ndvi_start_month,ndvi_end_month,ndvi_year,ndvi_lat,ndvi_lon,ndvi_first_month_median_30km,ndvi_full_season_median_30km,ndvi_merge_status,ndvi_coord_match_round4,lat_round,long_round,abs_latitude,population_id,distance_to_coast_km,era5_year,era5_first_month,era5_latitude,era5_longitude,era5_weather_start_date,era5_weather_end_date,era5_weather_dataset,era5_pre_max_mm_day_first_month,era5_pre_mean_mm_day_first_month,era5_pre_sd_mm_day_first_month,era5_pre_sum_mm_first_month,era5_pre_wet_days_gt1mm_first_month,era5_tmp_mean_C_first_month,era5_tmp_range_C_first_month,era5_tmp_sd_C_first_month
1,179Gibbs1994,Gallinula_mortierii,Tribonyx_mortierii,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",Gallinula_mortierii,polyandry_polygynandry,single-year study,Tasmanian_native-hen,-42.63,148.0614,no,DNA fingerprinting,1989,1989,July,September,0.0,0.0,6.0,6.0,1,148.0614,1989,7.0,1.0,7.599999905,7.786207002,-0.186207097,8.000000095,-0.400000191,9.0,8.733333429,8.805747317,-0.072413888,9.113333416,-0.379999987,3.0,82.20000458,71.38275969,10.81724489,72.20000076,10.00000381,161.7000084,199.0724178,-37.37240943,201.3600044,-39.65999603,3.0,9.100000381,10.00000032,7.0,9.0,3.0,1.0,1.0,7.0,9.0,1989.0,-42.63,148.0614,0.337621954,0.332107695,both,True,-42.63,148.06,42.63,Gallinula_mortierii_-42.63_148.06,1.787452658,1989.0,7.0,-42.63,148.0614,1989-07-01,1989-07-31,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
2,191Liu2015,Agelaius_phoeniceus,Agelaius_phoeniceus,Passeriformes,Icteridae,Troupials and Allies,Agelaius_phoeniceus,monogamy,single-year study,red-winged_blackbird,41.55,-80.18,no,microsatellite,2009,2009,,,48.1,13.0,14.0,27.0,2,-80.18,2009,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,41.55,-80.18,41.55,Agelaius_phoeniceus_41.55_-80.18,397.0641173,,,,,,,,,,,,,,,
3,191Liu2015,Agelaius_phoeniceus,Agelaius_phoeniceus,Passeriformes,Icteridae,Troupials and Allies,Agelaius_phoeniceus,monogamy,single-year study,red-winged_blackbird,26.53,-78.53,no,microsatellite,2011,2011,,,50.0,10.0,10.0,20.0,3,-78.53,2011,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,26.53,-78.53,26.53,Agelaius_phoeniceus_26.53_-78.53,2.563974469,,,,,,,,,,,,,,,
4,191Liu2015,Agelaius_xanthomus,Agelaius_xanthomus,Passeriformes,Icteridae,Troupials and Allies,Agelaius_xanthomus,monogamy,single-year study,yellow-shouldered_blackbird,17.93,-67.1,yes,microsatellite,2012,2012,,,36.7,11.0,19.0,30.0,4,-67.1,2012,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,17.93,-67.1,17.93,Agelaius_xanthomus_17.93_-67.1,4.124421454,,,,,,,,,,,,,,,
5,233Lifjeld2005,Alle_alle,Alle_alle,Charadriiformes,Alcidae,"Auks, Murres, and Puffins",Alle_alle,monogamy,single-year study,little_auk,77.0,15.37,no,microsatellite,2002,2002,June,August,0.0,0.0,26.0,26.0,5,15.37,2002,6.0,5.0,,,,,,8.0,,,,,,3.0,,,,,,,,,,,3.0,,,6.0,8.0,3.0,1.0,1.0,6.0,8.0,2002.0,77.0,15.37,0.021,0.050106181,both,True,77.0,15.37,77.0,Alle_alle_77_15.37,1.422209431,2002.0,6.0,77.0,15.37,2002-06-01,2002-06-30,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
6,232Kreisinger2010,Anas_platyrhynchos,Anas_platyrhynchos,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",Anas_platyrhynchos,monogamy,single-year study,mallard,49.15,14.72,no,microsatellite,2004,2004,April,July,48.0,12.0,13.0,25.0,6,14.72,2004,4.0,6.0,8.699999809,7.317241537,1.382758272,8.220000076,0.479999733,7.0,13.25000024,13.03103478,0.218965456,14.53000026,-1.280000019,4.0,32.79999924,45.6172417,-12.81724246,32.94000072,-0.140001488,277.7999992,284.8551766,-7.05517736,247.4400045,30.3599947,4.0,11.40000057,10.90000033,4.0,7.0,4.0,1.0,1.0,4.0,7.0,2004.0,49.15,14.72,0.508487016,0.622960154,both,True,49.15,14.72,49.15,Anas_platyrhynchos_49.15_14.72,384.5813158,2004.0,4.0,49.15,14.72,2004-04-01,2004-04-30,ECMWF/ERA5_LAND/DAILY_AGGR,13.426798582031552,1.8653726589233104,3.119548391507358,55.96117976769932,11.0,8.861875131395156,10.978501001993834,2.9818496384623945
7,235Peters2003,Anas_strepera,Mareca_strepera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",Anas_strepera,monogamy,single-year study,gadwalls,48.62,-99.08,no,microsatellite,1997,1997,May,August,27.6,8.0,21.0,29.0,7,-99.08,1997,5.0,7.0,9.400000572,11.52413817,-2.124137599,11.44000034,-2.039999771,8.0,16.57500005,16.46034522,0.114654825,15.95000029,0.624999762,4.0,15.90000057,56.93103557,-41.031035,55.90000153,-40.00000095,234.9000044,278.5896593,-43.68965494,310.0600044,-75.16000004,4.0,14.60000038,14.12500024,5.0,8.0,4.0,1.0,1.0,5.0,8.0,1997.0,48.62,-99.08,0.218452626,0.485716919,both,True,48.62,-99.08,48.62,Anas_strepera_48.62_-99.08,1014.260793,1997.0,5.0,48.62,-99.08,1997-05-01,1997-05-31,ECMWF/ERA5_LAND/DAILY_AGGR,11.949050426380836,1.525812211523298,2.852294353567584,47.30017855722224,9.0,9.124393307265436,16.8868192036947,3.895461698360262
8,408Choudhury1993,Branta_leucopsis,Branta_leucopsis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",Branta_leucopsis,monogamy,single-year study,barnacle_goose,78.92,11.9,no,DNA fingerprinting,1989,1989,June,July,0.0,0.0,9.0,9.0,8,11.9,1989,6.0,8.0,1.5,0.906896572,0.593103428,1.760000026,-0.260000026,7.0,2.700000048,2.598275911,0.101724137,3.27000007,-0.570000023,2.0,20.5,24.37241424,-3.872414235,20.76000013,-0.260000134,51.0,54.24482843,-3.24482843,42.64000063,8.359999371,2.0,3.400000095,3.400000095,6.0,7.0,2.0,1.0,1.0,6.0,7.0,1989.0,78.92,11.9,-0.049677778,-0.006222391,both,True,78.92,11.9,78.92,Branta_leucopsis_78.92_11.9,2.451344166,1989.0,6.0,78.92,11.9,1989-06-01,1989-06-30,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
9,114Blomqvist2002,Calidris_mauri,Calidris_mauri,Charadriiformes,Scolopacidae,Sandpipers and Allies,Calidris_mauri,monogamy,single-year study,Western_sandpiper,64.33,-164.93,no,DNA fingerprinting,1996,1996,May,June,8.0,2.0,23.0,25.0,9,-164.93,1996,5.0,9.0,3.799999952,1.800000019,1.999999933,2.920000088,0.879999864,6.0,5.999999881,4.732758675,1.267241206,5.860000092,0.139999789,2.0,40.90000153,14.93448306,25.96551847,12.46000013,28.44000139,64.20000267,40.83793178,23.36207089,33.96000032,30.24000235,2.0,8.100000381,7.800000191,5.0,6.0,2.0,1.0,1.0,5.0,6.0,1996.0,64.33,-164.93,0.297423913,0.265905814,both,True,64.33,-164.93,64.33,Calidris_mauri_64.33_-164.93,13.94887324,1996.0,5.0,64.33,-164.93,1996-05-01,1996-05-31,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
10,174Ritchison1994,Cardinalis_cardinalis,Cardinalis_cardinalis,Passeriformes,Cardinalidae,Cardinals and Allies,Cardinalis_cardinalis,monogamy,single-year study,Northern_cardinal,37.65,-84.12,no,DNA fingerprinting,1992,1992,April,August,15.8,3.0,16.0,19.0,10,-84.12,1992,4.0,10.0,13.40000057,13.00689678,0.393103797,13.00000038,0.400000191,8.0,19.24000034,20.21793133,-0.97793099,20.74400036,-1.504000015,5.0,59.90000153,102.0034508,-42.10344926,80.06000214,-20.16000061,607.6000061,539.5275964,68.07240966,489.7800072,117.8199989,5.0,11.30000019,10.90000019,4.0,8.0,5.0,1.0,1.0,4.0,8.0,1992.0,37.65,-84.12,0.464471018,0.636184146,both,True,37.65,-84.12,37.65,Cardinalis_cardinalis_37.65_-84.12,601.8097787,1992.0,4.0,37.65,-84.12,1992-04-01,1992-04-30,ECMWF/ERA5_LAND/DAILY_AGGR,12.439975142473967,1.7556762459062014,2.752875127797896,52.67028737718604,15.0,12.788363308376756,19.6979764302572,5.745482259981053
