species_phylo,n_records,total_broods,total_epp_broods,species_epp_rate
Gymnorhina_tibicen,3,32,28,0.875
Tachycineta_bicolor,12,782,650,0.8312020460358056
Vermivora_chrysoptera,1,17,13,0.7647058823529411
Acrocephalus_paludicola,3,75,57,0.76
Passerculus_sandwichensis,2,116,79,0.6810344827586207
Periparus_ater,5,416,283,0.6802884615384616
Malurus_melanocephalus,8,231,157,0.6796536796536796
Notiomystis_cincta,7,486,327,0.6728395061728395
Sialia_mexicana,3,76,51,0.6710526315789473
Rhipidura_albiscapa,3,25,16,0.64
