variable,source,unit_or_type,description
epp_row_id,EPP dataset,integer,One-based row identifier added to link EPP records with Google Earth Engine exports.
id,EPP dataset,text,Original study or publication identifier.
scientific_name,EPP dataset,text,Scientific species name used in the EPP dataset.
Clements_name,Taxonomy,text,Species name matched to the Clements taxonomic backbone used for phylogenetic matching.
order,Clements Checklist v2025,text,Avian order matched from the Clements Checklist v2025 using Clements_name.
family,Clements Checklist v2025,text,Scientific family name matched from the Clements Checklist v2025 using Clements_name.
family_common,Clements Checklist v2025,text,English common family group name extracted from the Clements Checklist v2025 family field.
scientific_name_jetz,EPP dataset,text,"Species name matched to the Jetz taxonomic backbone, where available."
breeding_system,EPP dataset,categorical,Breeding system classification used to restrict analyses to socially monogamous species.
level,EPP dataset,categorical,"Resolution of the EPP record, such as single-year or multi-year study level."
common_name,EPP dataset,text,Common English species name.
lat,EPP dataset,decimal degrees,Latitude of the study population or assigned study location.
long,EPP dataset,decimal degrees,Longitude of the study population or assigned study location.
nest_box,EPP dataset,categorical,Whether the study population used nest boxes.
marker_type,EPP dataset,categorical,Genetic marker type used to estimate extra-pair paternity.
year_of_study_start,EPP dataset,year,First year covered by the EPP estimate.
year_of_study_end,EPP dataset,year,Final year covered by the EPP estimate.
breeding_start,EPP dataset,month name,Start month of the breeding season or first breeding month used for environmental matching.
breeding_end,EPP dataset,month name,End month of the breeding season or final breeding month used for environmental matching.
epp_percent_broods,EPP dataset,percent,Percentage of sampled broods containing at least one extra-pair young.
n_epp_broods,EPP dataset,count,Number of sampled broods containing at least one extra-pair young.
n_wpp_broods,EPP dataset,count,Number of sampled broods without extra-pair young.
n_broods_sampled,EPP dataset,count,Total number of sampled broods.
record_id,Climate merge,integer,Record identifier used during environmental-data extraction.
lon,Climate merge,decimal degrees,Longitude column used for climate extraction; usually duplicates long.
climate_year,CRU climate,year,Year used to extract monthly climate data.
climate_month,CRU climate,month number,First breeding-season month used to extract monthly climate data.
location_id,Climate merge,integer,Location identifier used during climate-data extraction.
tmp_cru_C_first_month,CRU climate,degrees C,Mean CRU temperature during the first-month breeding window.
tmp_long_base_1961_1989_C_first_month,CRU climate,degrees C,"Long-term baseline mean temperature for the first-month breeding window, calculated over 1961-1989."
