population_id,n_records,n_references,id_references
Acanthiza_pusilla_-35.27_149.1,3,1,128Green2002
Accipiter_cooperii_44.97_-90.05,3,1,389Rosenfield2015
Accipiter_cooperii_NA_NA,9,1,506Rosenfield2024
Accipiter_gentilis_36.71_-112.22,3,1,178Gavin1998
Acrocephalus_arundinaceus_49.67_10.85,5,1,52Leisler2000
Acrocephalus_arundinaceus_59.1_15.25,5,1,36Arlt2004
Acrocephalus_paludicola_53.33_22.67,3,1,51Leisler2000
Acrocephalus_schoenobaenus_51.45_-0.55,6,1,380Marshall2007
Acrocephalus_schoenobaenus_59.17_15.42,3,1,20Langefors1998
Acrocephalus_scirpaceus_21.6_51.53,6,1,493Hałupka2024
Acrocephalus_sechellensis_-4.32_55.65,1,1,138Richardson2001
Actitis_hypoleucos_54.75_-3.02,2,1,25Mee2004
Aegithalos_caudatus_52.38_-1.57,20,1,586Green2018
Agelaius_phoeniceus_26.53_-78.53,1,1,191Liu2015
Agelaius_phoeniceus_41.55_-80.18,1,1,191Liu2015
Agelaius_xanthomus_17.93_-67.1,1,1,191Liu2015
Alauda_arvensis_51.17_-4.63,4,1,237Hutchinson2007
Alcedo_atthis_47.99_17.34,3,1,596Cepková2022
Alle_alle_77_15.37,1,1,233Lifjeld2005
Anas_platyrhynchos_49.15_14.72,1,1,232Kreisinger2010
Anas_strepera_48.62_-99.08,1,1,235Peters2003
Aphelocoma_ultramarina_31.92_-109.25,6,1,438Li2000
Aphrastura_spinicauda_-30.63_-71.67,6,1,560Botero2020
Aphrastura_spinicauda_-55.07_-67.67,6,1,560Botero2020
Bartramia_longicauda_39.08_-96.58,5,1,10Casey2011
Branta_canadensis_43_-84,3,1,209Moore2012
Branta_leucopsis_57.28_18.75,3,1,254Larsson1995
Branta_leucopsis_78.92_11.9,1,1,408Choudhury1993
Bubulcus_ibis_-22.5_-47.58,1,1,674Mino2017
Bubulcus_ibis_61.3_-22.5,1,1,674Mino2017
Calidris_alba_74.5_-21,6,1,229Reneerkens2014
Calidris_mauri_64.33_-164.93,1,1,114Blomqvist2002
Calonectris_diomedea_36.92_-25.17,2,1,213Bried2010
Calonectris_leucomelas_39.4_141.99,3,1,542Sakao2019
Cardinalis_cardinalis_37.65_-84.12,1,1,174Ritchison1994
Carduelis_cannabina_56.5_10.83,2,1,212Bonlokke-Pedersen2002
