id_reference,n_records,n_populations
104Freeman-Gallant2005,2,1
105Neuman2007,1,1
10Casey2011,5,1
110Varian-Ramos2012,8,1
114Blomqvist2002,1,1
117Canal2012,2,1
120Westneat1990,1,1
126Anderson2006,1,1
127Dlehanty1998,1,1
128Green2002,3,1
12Ramos2014,1,1
131Kudernatsch2010,6,1
132Major2004,1,1
136Benson2002,3,1
137Currie1998,1,1
138Richardson1999,2,1
138Richardson2001,1,1
140Roeder2016,4,1
143MacDougall-Shackleton2002,3,1
146Garcia-Del-Rey2012,1,1
14Gullberg1992,2,2
150Korpimäki1996,3,1
156van Rooij2016,3,1
157Cramer2011,4,1
163Juola2012,1,1
166Hunter1992,1,1
168Bjornstad1997,1,1
170Hill1994,1,1
172Gissing1998,1,1
174Ritchison1994,1,1
175Maguire2008,3,1
177Seress2007,1,1
178Gavin1998,3,1
17Johnsen2003,10,1
180Chuang1999,2,1
182Ellegren1995,1,1
184Smith1991,1,1
187Gelter1992,1,1
18Fridolfsson1997,2,1
191Liu2015,3,3
198McLean2000,1,1
1Dolan2000,3,1
205Stewart2015,1,1
206Stewart2006,2,1
208Swatschek1993,1,1
209Moore2012,3,1
20Langefors1998,3,1
211Augustin2007,1,1
212Bonlokke-Pedersen2002,2,1
213Bried2010,2,1
214Brün1996,1,1
218Masello2002,2,1
21Lessard2014,4,1
223Gonzalez-Solis2001,1,1
224Graves1992,1,1
224Wetton1991,5,1
225Neto2010,6,1
227Veiga2000,1,1
228Freeland1995,4,1
228Hoffman2010,3,1
229Reneerkens2014,6,1
22Loyau2005,2,1
230Martínez2013,1,1
231Yin2014,3,1
232Kreisinger2010,1,1
233Lifjeld2005,1,1
235Lifjeld1991,1,1
235Peters2003,1,1
237Hutchinson2007,4,1
238Hughes2003,3,1
239Lee2009,2,1
240Otter2001,1,1
241Moreno2015,1,1
242Berthier2012,1,1
242Moreno2013,1,1
243Delmore2008,1,1
243Moreno2010,1,1
244Conrad2001,1,1
244Moreno2000,1,1
247Maher2017,1,1
249Kraaijeveld2004,3,1
254Larsson1995,3,1
255Bouwman2006,2,1
256Kawano2009,2,1
259Huyvaert2000,1,1
259Huyvaert2006,3,1
25Mee2004,2,1
260Overeem2014,3,1
262Hoset2014,5,1
269Whittingham1995,1,1
26Moller2003,1,1
288Manica2016,3,1
28Pilastro2001,1,1
294 Alcaide2005,2,2
298Dallimer2007,1,1
2Jacobs2015,3,1
302 Jones2012,3,1
305Hasegawa2010,2,1
30Poesel2011,3,1
310Schwartz1999,1,1
315Evans2008,3,1
319Lettink2002,1,1
321Martín-Vivaldi2002,1,1
325Webster2001,4,1
326Webster2004,12,2
330Wink2011,3,1
341Saino1999,1,1
346Kleven2007,2,1
347Moore1999,1,1
348Rätti2001,1,1
349Rätti1995,1,1
34Sánchez-Tójar2015,5,1
350Vedder2010,1,1
351Brekke2013,7,1
352Baião2009,1,1
353Bolton2017,2,1
357Cordero1999,2,2
358Cordero2003,2,1
360Kappes2009,2,1
362Jouventin2006,2,2
366Minias2014,1,1
367Dunn1999,2,2
36Arlt2004,5,1
371Quillfeldt2012,1,1
373Grant2011,2,1
375Bitton2007,1,1
380Marshall2007,6,1
388Ležalová-Piálková2011,1,1
389Rosenfield2015,3,1
390Pinxten1993,2,1
394Vaclav2003,1,1
395Václav2007,1,1
402McRae1996,2,1
404Smith2016,3,1
405Griffith2010,3,1
406Griffith1999,4,2
408Choudhury1993,1,1
410Turjeman2016,1,1
411Lawless1997,1,1
418Harper2010,1,1
421 Lorentsen2000,1,1
426Yezerinac1999,1,1
428Perreault1997,3,1
42Woolfenden2005,4,1
432Taylor2008,14,4
433Strohbach1998,2,1
436Yamagishi1992,1,1
437Yezerinac2013,6,1
438Li2000,6,1
440Anker-Nilssen2008,2,1
444Lubjuhn1999,1,1
445Lubjuhn2007,1,1
446Lubjuhn2000,3,1
447Burg2006,6,3
449Øigarden2010,1,1
450Pearson2006,6,1
451Põldmaa1995,2,1
457Wilk2008,4,1
458Yuta2016,2,1
463Dietrich2004,3,1
464Ferretti2016,2,1
466García-Navas2015,1,1
467Saladin2007,1,1
472 Kojima2009,2,1
474Winkel2001,1,1
475Wrege1987,3,1
479Zharikov2000,2,1
47Stutchbury1998,2,1
483Sheldon1999,1,1
489Barber2025,4,1
493Hałupka2024,6,1
4Charmantier2003,4,2
506Rosenfield2024,9,1
507Roeder2022,3,1
50Kempenaers1997,4,1
512Ding2021,1,1
518Diniz2019,3,1
51Leisler2000,3,1
525Garrido2025,2,1
52Leisler2000,5,1
539Sánchez2018,3,1
53Tomotani2017,1,1
542Sakao2019,3,1
544Kleven2020,6,1
548Bao2019,4,2
550Plaza2024,5,1
554Lifjeld2025,1,1
560Botero2020,12,2
569Hauber2018,1,1
570Benitez2019,3,1
573LaBarbera2017,1,1
577Corregidor2022,4,1
586Green2018,20,1
587Badás2020,2,1
58Barber1998,1,1
594Arrieta2022,3,1
596Cepková2022,3,1
59Barber1996,4,1
616Marasco2020,2,1
61Carvalho2006,1,1
636Boersma2023,4,1
63Bichet2014,3,1
644Johnson2018,4,1
645Celis2012,3,2
648Roeder2019,7,1
64Clair1995,1,1
652Sætre2018,3,1
654Ferretti2019,1,1
655Arct2024,8,1
65Millar1997,1,1
666Danner2018,5,1
672Grinkov2022,2,1
673Stermin2026,2,1
674Mino2017,2,2
675Dawson2025,2,1
678Beck2020,2,1
71Eikenaar2013,2,2
72Eikenaar2011,2,1
76Krokene1998,7,2
7Ball 2017,1,1
88Mayer2013,4,1
