record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
1,179Gibbs1994,Gallinula_mortierii,1989,7,9,1,1,148.0614,-42.63
2,191Liu2015,Agelaius_phoeniceus,2009,,,0,0,-80.18,41.55
3,191Liu2015,Agelaius_phoeniceus,2011,,,0,0,-78.53,26.53
4,191Liu2015,Agelaius_xanthomus,2012,,,0,0,-67.1,17.93
5,233Lifjeld2005,Alle_alle,2002,6,8,1,1,15.37,77
6,232Kreisinger2010,Anas_platyrhynchos,2004,4,7,1,1,14.72,49.15
7,235Peters2003,Anas_strepera,1997,5,8,1,1,-99.08,48.62
8,408Choudhury1993,Branta_leucopsis,1989,6,7,1,1,11.9,78.92
9,114Blomqvist2002,Calidris_mauri,1996,5,6,1,1,-164.93,64.33
10,174Ritchison1994,Cardinalis_cardinalis,1992,4,8,1,1,-84.12,37.65
11,172Gissing1998,Carduelis_tristis,1992,6,,1,0,-80.23,43.53
12,170Hill1994,Carpodacus_mexicanus,1991,2,7,1,1,-83.73,42.27
13,65Millar1997,Catharacta_maccormicki,1988,1,1,1,1,167.77,-77.52
14,247Maher2017,Charadrius_alexandrinus,2011,4,7,1,1,41.88,16.8
15,367Dunn1999,Chen_caerulescens,1995,6,7,1,1,-100.27,67.23
16,367Dunn1999,Chen_rossii,1995,6,7,1,1,-100.27,67.23
17,366Minias2014,Chlidonias_hybrida,2012,5,8,1,1,18.63,51.73
18,410Turjeman2016,Ciconia_ciconia,2012,,,0,0,5,44
19,449Øigarden2010,Cinclus_cinclus,1998,4,6,1,1,10.52,60.38
20,269Whittingham1995,Delichon_urbicum,1992,7,7,1,1,8.87,61.42
21,426Yezerinac1999,Dendroica_petechia,1994,5,7,1,1,-94.42,58.67
22,362Jouventin2006,Diomedea_exulans,2001,11,10,1,1,51.75,-46.42
23,362Jouventin2006,Diomedea_exulans,2002,12,11,1,1,69.53,-49.25
24,198McLean2000,Eudyptes_pachyrhynchus,1990,7,9,1,1,168.88,-43.83
25,64Clair1995,Eudyptes_schlegeli,1991,10,12,1,1,158.95,-54.5
26,208Swatschek1993,Falco_eleonorae,1991,5,10,1,1,24.98,38
27,294 Alcaide2005,Falco_naumanni,2003,3,7,1,1,-6.35,37.17
28,294 Alcaide2005,Falco_naumanni,1993,4,7,1,1,-0.18,41.35
29,483Sheldon1999,Ficedula_albicollis,1994,5,7,1,1,18.33,57.17
30,242Moreno2013,Ficedula_hypoleuca,2010,5,6,1,1,-4.02,40.8
31,235Lifjeld1991,Ficedula_hypoleuca,1989,5,7,1,1,10.63,59.98
32,214Brün1996,Ficedula_hypoleuca,1993,5,6,1,1,7.35,52.53
33,182Ellegren1995,Ficedula_hypoleuca,1992,5,6,1,1,10.78,59.97
34,187Gelter1992,Ficedula_hypoleuca,1987,5,6,1,1,17.67,59.83
35,243Moreno2010,Ficedula_hypoleuca,2003,5,6,1,1,-4.02,40.8
36,241Moreno2015,Ficedula_hypoleuca,2011,5,6,1,1,-4.02,40.8
37,349Rätti1995,Ficedula_hypoleuca,1990,5,6,1,1,26.33,62.62
38,348Rätti2001,Ficedula_hypoleuca,1992,5,6,1,1,26.33,62.62
39,53Tomotani2017,Ficedula_hypoleuca,2014,4,6,1,1,5.85,52.03
40,163Juola2012,Fregata_minor,2007,2,6,1,1,-166.02,23.75
41,166Hunter1992,Fulmarus_glacialis,1988,3,,1,0,-1.62,59.53
42,341Saino1999,Hirundo_rustica,1994,3,6,1,1,8.62,45.43
43,26Moller2003,Hirundo_rustica,1994,3,6,1,1,-6.98,38.83
