"epp_row_id","latitude","longitude","year","first_month"
"1","-42.63","148.0614","1989","7"
"5","77","15.37","2002","6"
"6","49.15","14.72","2004","4"
"7","48.62","-99.08","1997","5"
"8","78.92","11.9","1989","6"
"9","64.33","-164.93","1996","5"
"10","37.65","-84.12","1992","4"
"11","43.53","-80.23","1992","6"
"12","42.27","-83.73","1991","2"
"13","-77.52","167.77","1988","1"
"14","16.8","41.88","2011","4"
"15","67.23","-100.27","1995","6"
"16","67.23","-100.27","1995","6"
"17","51.73","18.63","2012","5"
"19","60.38","10.52","1998","4"
"20","61.42","8.87","1992","7"
"21","58.67","-94.42","1994","5"
"22","-46.42","51.75","2001","11"
"23","-49.25","69.53","2002","12"
"24","-43.83","168.88","1990","7"
"25","-54.5","158.95","1991","10"
"26","38","24.98","1991","5"
"27","37.17","-6.35","2003","3"
"28","41.35","-0.18","1993","4"
"29","57.17","18.33","1994","5"
"30","40.8","-4.02","2010","5"
"31","59.98","10.63","1989","5"
"32","52.53","7.35","1993","5"
"33","59.97","10.78","1992","5"
"34","59.83","17.67","1987","5"
"35","40.8","-4.02","2003","5"
"36","40.8","-4.02","2011","5"
"37","62.62","26.33","1990","5"
"38","62.62","26.33","1992","5"
"39","52.03","5.85","2014","4"
"40","23.75","-166.02","2007","2"
"41","59.53","-1.62","1988","3"
"42","45.43","8.62","1994","3"
"43","38.83","-6.98","1994","3"
"44","42.35","-76.5","2002","5"
"45","44.55","-76.32","1989","5"
"46","34.57","135.53","1989","3"
"47","48.92","17.08","2004","4"
"48","37.62","-84.12","1994","3"
"49","44.75","-63.68","2000","4"
"50","52.77","-4.78","1991","3"
"51","-51.72","-61.28","2006","12"
"52","52.33","11","1993","4"
"53","59.83","17.63","1988","4"
"54","53.13","6.58","2008","4"
"55","39.55","-4.33","2012","4"
"56","59.83","17.67","1998","4"
"57","52.37","11.02","1993","4"
"58","55.67","12.57","1998","4"
"59","52.15","10.32","1998","4"
"60","28.42","16.38","2009","4"
"61","53.07","-0.95","1994","3"
"62","41.38","2.15","1995","4"
"63","-71.88","5.17","1993","1"
"64","46.33","7.67","2004","4"
"65","37","-3","1995","2"
"66","44.57","-76.32","2005","4"
"67","-15.95","-47.93","1999","11"
"68","-0.35","-78.15","2006","10"
"69","-0.12","-77.92","2009","1"
"70","53.48","23","1990","6"
"71","-4.32","55.65","1999","5"
"72","-24.38","-128.32","1991","9"
"73","37.18","-3.05","1993","3"
"74","50.18","-98.38","1994","5"
"75","-31.67","-62.82","2000","11"
"76","69.4","81.82","1993","6"
